geom,angle,chord,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:01,-2.0,24,True,0.0042852,0.010999196983191758,0.6628,-15.461128686019023,-0.17006,0.08536,0.286036,3.380811,-1.536755,-0.26062,-3.568139,0.002351,0.014067,-0.00881,-0.003135,-0.000115,-4.8e-05,-6.821e-05,-0.0003884,23.482581400996423
lhs30s2000:01,-2.0,48,True,0.0043134,0.011018417384495018,0.6581,-15.377889045883657,-0.16944,0.08507,0.286024,3.381566,-1.537036,-0.260635,-3.569017,0.002356,0.014219,-0.00888,-0.003167,-0.000124,-3.8e-05,-4.724e-05,-0.000368,83.8681580160046
lhs30s2000:01,0.0,6,True,0.0014332,0.0077129349058950416,0.2137,-7.320170685849726,-0.05646,0.03373,0.286516,3.389289,-1.543195,-0.26056,-3.5686,0.001549,0.013109,-0.008315,-0.002925,-2.1e-05,-0.000222,-0.0002808,-0.0005063,1.4168324010024662
lhs30s2000:01,0.0,12,True,0.0014835,0.007753520696772832,0.1843,-6.849791478870421,-0.05311,0.03225,0.286319,3.392379,-1.543539,-0.260622,-3.56964,0.001636,0.013772,-0.008653,-0.003067,-3.4e-05,-0.000208,-0.0002244,-0.0004078,6.752978761000122
lhs30s2000:01,0.0,24,True,0.0015335,0.007800026068809608,0.1714,-6.638439351767749,-0.05178,0.03157,0.286296,3.394033,-1.544165,-0.260644,-3.571566,0.001667,0.014124,-0.008831,-0.003142,-4.6e-05,-0.000196,-0.0002033,-0.0003897,23.792711474001408
lhs30s2000:01,0.0,48,True,0.0015552,0.007819827222990367,0.1659,-6.539786435389251,-0.05114,0.03127,0.28628,3.394803,-1.544431,-0.260653,-3.572452,0.00168,0.014276,-0.008901,-0.003174,-5.2e-05,-0.000188,-0.0001835,-0.0003692,83.20224923500064
lhs30s2000:01,2.0,6,True,0.0013292,0.007575289647605879,0.274,8.172624794560331,0.06191,-0.02017,0.286594,3.390672,-1.544244,-0.259502,-3.569243,0.002131,0.013121,-0.008319,-0.002926,2.6e-05,-0.000353,-0.0003737,-0.0005067,1.4213551139982883
lhs30s2000:01,2.0,12,True,0.0014503,0.007707834506921459,0.2824,8.479683877658273,0.06536,-0.02167,0.286398,3.393375,-1.544417,-0.259521,-3.570168,0.002244,0.013785,-0.008656,-0.003067,2.2e-05,-0.00035,-0.0003503,-0.0004082,6.591034786004457
lhs30s2000:01,2.0,24,True,0.0015223,0.007784981506792087,0.2831,8.572916960916604,0.06674,-0.02237,0.286372,3.394925,-1.544984,-0.259524,-3.572072,0.002288,0.014137,-0.008834,-0.003142,1.4e-05,-0.000343,-0.000338,-0.00039,23.328753560999758
lhs30s2000:01,2.0,48,True,0.0015545,0.007819523301734044,0.2841,8.62073011343943,0.06741,-0.02267,0.286356,3.395659,-1.545231,-0.259527,-3.572961,0.002308,0.014291,-0.008904,-0.003175,1e-05,-0.000339,-0.0003194,-0.0003696,84.45020500999817
lhs30s2000:01,4.0,6,True,0.0038983,0.010396695418141838,0.7897,17.32377382968389,0.18011,-0.07399,0.286383,3.379929,-1.538219,-0.257246,-3.566217,0.004003,0.013095,-0.008304,-0.00292,6e-05,-0.000484,-0.0004656,-0.0005058,1.4204209050003556
lhs30s2000:01,4.0,12,True,0.0041317,0.010643834054996616,0.7843,17.254120935283446,0.18365,-0.07549,0.286197,3.382118,-1.538217,-0.257219,-3.567018,0.004144,0.013757,-0.00864,-0.003061,6.3e-05,-0.000492,-0.0004752,-0.0004075,6.761336061001202
lhs30s2000:01,4.0,24,True,0.0042557,0.010774073443316505,0.78,17.178275326757763,0.18508,-0.07621,0.286176,3.383471,-1.53872,-0.257203,-3.568894,0.004201,0.014109,-0.008818,-0.003136,6e-05,-0.00049,-0.0004717,-0.0003894,23.55974184099614
lhs30s2000:01,4.0,48,True,0.0043154,0.010836612666116225,0.7785,17.14373353777739,0.18578,-0.07652,0.286164,3.384116,-1.538945,-0.257199,-3.569783,0.004228,0.014262,-0.008888,-0.003168,5.8e-05,-0.000488,-0.0004543,-0.000369,82.1589387339991
lhs30s2000:02,-2.0,6,True,0.0032193,0.009746558072318367,0.6208,-16.530963936654118,-0.16112,0.08659,0.30852,3.93722,-1.85614,-0.31932,-4.54509,0.002094,0.013082,-0.008743,-0.003301,2e-06,-0.000381,-0.0003168,-0.0005835,1.4057020769978408
lhs30s2000:02,-2.0,12,True,0.0032272,0.009727900254703506,0.5937,-16.17409676090429,-0.15734,0.08465,0.30819,3.93939,-1.855173,-0.319481,-4.541815,0.002069,0.013764,-0.009111,-0.003468,-1.4e-05,-0.000383,-0.0002396,-0.0004796,6.784366313000646
lhs30s2000:02,-2.0,24,True,0.0032604,0.00974980984676612,0.5804,-15.99518374727344,-0.15595,0.08383,0.308123,3.940129,-1.855117,-0.319536,-4.541262,0.002059,0.014113,-0.009295,-0.003554,-2.7e-05,-0.00038,-0.0002129,-0.0004609,23.749480698999832
lhs30s2000:02,-2.0,48,True,0.0032721,0.009755794935626944,0.5743,-15.907468435326116,-0.15519,0.08345,0.308108,3.940318,-1.855115,-0.31955,-4.541093,0.002053,0.014272,-0.009373,-0.003593,-3.4e-05,-0.000379,-0.0001897,-0.000438,84.45566352899914
lhs30s2000:02,0.0,6,True,0.0011451,0.007098407361663679,0.0371,-3.295105339589584,-0.02339,0.0216,0.309032,3.951424,-1.865928,-0.319795,-4.553047,0.00105,0.013138,-0.008773,-0.003312,2.8e-05,-0.000501,-0.0004301,-0.0005859,1.412816058997123
lhs30s2000:02,0.0,12,True,0.0012176,0.007158855374713465,0.0246,-2.730883496970002,-0.01955,0.0197,0.3087,3.953135,-1.864728,-0.319899,-4.549569,0.001023,0.013825,-0.009142,-0.00348,1.8e-05,-0.000509,-0.0003953,-0.0004818,6.849509272000432
lhs30s2000:02,0.0,24,True,0.0012662,0.007205454239597126,0.0206,-2.5161494885870916,-0.01813,0.01889,0.308629,3.953779,-1.864605,-0.319939,-4.548987,0.001008,0.014177,-0.009326,-0.003566,9e-06,-0.00051,-0.0003776,-0.0004629,23.65227250400494
lhs30s2000:02,0.0,48,True,0.0012862,0.007224646606425999,0.0187,-2.4042698482373055,-0.01737,0.0185,0.308613,3.953943,-1.864585,-0.31995,-4.548829,0.001001,0.014337,-0.009405,-0.003605,3e-06,-0.00051,-0.0003563,-0.00044,84.4050914890031
lhs30s2000:02,2.0,6,True,0.0019722,0.008054747988116933,0.504,14.226391709467903,0.11459,-0.04359,0.309221,3.952136,-1.867401,-0.319104,-4.556733,0.001202,0.013158,-0.008785,-0.003317,4.8e-05,-0.000619,-0.0005428,-0.000587,1.4183130439996603
lhs30s2000:02,2.0,12,True,0.0021276,0.00822216672973221,0.5026,14.409826982900261,0.11848,-0.04543,0.308888,3.953331,-1.865957,-0.319148,-4.553027,0.00118,0.013845,-0.009153,-0.003485,4.6e-05,-0.000635,-0.0005505,-0.0004827,6.747060920002696
lhs30s2000:02,2.0,24,True,0.0022054,0.00830501733844986,0.4987,14.439464135108379,0.11992,-0.04624,0.308816,3.953839,-1.86576,-0.319172,-4.552404,0.001162,0.014198,-0.009338,-0.003571,4e-05,-0.000639,-0.0005419,-0.0004639,23.64908856400143
lhs30s2000:02,2.0,48,True,0.0022415,0.008343594900112968,0.4978,14.464987987176357,0.12069,-0.04663,0.3088,3.953953,-1.865718,-0.319181,-4.552251,0.001156,0.01436,-0.009416,-0.00361,3.6e-05,-0.000641,-0.0005226,-0.0004409,84.1963277439936
lhs30s2000:02,4.0,6,True,0.0057079,0.012098224019011422,0.8494,20.85925997100366,0.25236,-0.10867,0.309047,3.939331,-1.860307,-0.31721,-4.555729,0.002477,0.01314,-0.008777,-0.003315,6.1e-05,-0.000737,-0.0006543,-0.0005866,1.416662653995445
lhs30s2000:02,4.0,12,True,0.0059631,0.012368894035845599,0.8433,20.71971829148906,0.25628,-0.11046,0.308718,3.939956,-1.858622,-0.317196,-4.551796,0.00246,0.013826,-0.009144,-0.003482,6.4e-05,-0.000759,-0.0007045,-0.0004825,6.758400126000197
lhs30s2000:02,4.0,24,True,0.0060836,0.012495751166393926,0.8393,20.62621098707263,0.25774,-0.11127,0.308648,3.940286,-1.858352,-0.317205,-4.55113,0.002442,0.014178,-0.009328,-0.003568,6.2e-05,-0.000767,-0.000705,-0.0004636,24.05666792199918
lhs30s2000:02,4.0,48,True,0.0061433,0.012558647081246054,0.8378,20.58422362915472,0.25851,-0.11165,0.308634,3.940328,-1.858288,-0.31721,-4.550983,0.002435,0.01434,-0.009406,-0.003607,6e-05,-0.000771,-0.0006878,-0.0004407,83.19597522899858
lhs30s2000:03,-2.0,6,True,0.0030193,0.009483452021646837,0.6356,-14.695070917414693,-0.13936,0.06814,0.284358,3.400897,-1.411032,-0.265188,-3.474796,0.001809,0.009211,-0.005728,-0.002118,6e-06,-0.000151,-0.0001972,-0.0003984,1.300337294000201
lhs30s2000:03,-2.0,12,True,0.0030519,0.009493163042163516,0.6158,-14.382982720676225,-0.13654,0.06696,0.28399,3.402593,-1.409909,-0.265294,-3.47154,0.001806,0.00968,-0.005932,-0.00222,-2e-06,-0.000144,-0.0001362,-0.0003072,6.35717186400143
lhs30s2000:03,-2.0,24,True,0.0030847,0.009515861815772927,0.6044,-14.227823251445875,-0.13539,0.06636,0.283884,3.403323,-1.409686,-0.265337,-3.470832,0.001805,0.009951,-0.006057,-0.00228,-9e-06,-0.00014,-0.0001013,-0.0002751,22.41229301000567
lhs30s2000:03,-2.0,48,True,0.0030933,0.009519568849610506,0.5994,-14.160305170282513,-0.1348,0.06608,0.283838,3.403616,-1.40958,-0.265353,-3.470511,0.001804,0.010073,-0.006107,-0.002307,-1.3e-05,-0.000137,-8.791e-05,-0.0002622,79.365511993994
lhs30s2000:03,0.0,6,True,0.0010263,0.006931274717163253,0.04,-2.9431815693995556,-0.0204,0.01873,0.284873,3.412991,-1.418617,-0.265277,-3.480082,0.000909,0.009244,-0.005745,-0.002124,4.2e-05,-0.000247,-0.0002667,-0.0003998,1.3031441560015082
lhs30s2000:03,0.0,12,True,0.0010853,0.006974323652537041,0.0286,-2.512071545980917,-0.01752,0.0176,0.284497,3.414304,-1.417286,-0.265348,-3.476586,0.000905,0.009714,-0.005948,-0.002226,4e-05,-0.000246,-0.0002214,-0.0003083,6.387712448002276
lhs30s2000:03,0.0,24,True,0.0011283,0.007010362733187328,0.0242,-2.3336880875722916,-0.01636,0.017,0.284384,3.41493,-1.416987,-0.265377,-3.475807,0.000899,0.009987,-0.006074,-0.002286,3.6e-05,-0.000244,-0.000194,-0.0002761,22.9229276929982
lhs30s2000:03,0.0,48,True,0.0011447,0.007023318983212596,0.0223,-2.242529498894504,-0.01575,0.01673,0.284336,3.415189,-1.416856,-0.265388,-3.475471,0.000897,0.01011,-0.006124,-0.002313,3.4e-05,-0.000243,-0.0001811,-0.0002632,79.31965511800081
lhs30s2000:03,2.0,6,True,0.0018045,0.007731730518602352,0.5284,12.77333706372537,0.09876,-0.03083,0.285154,3.412639,-1.419868,-0.264095,-3.482008,0.001218,0.009249,-0.005749,-0.002125,7.5e-05,-0.000342,-0.0003358,-0.0004002,1.297861181999906
lhs30s2000:03,2.0,12,True,0.0019554,0.00789059669746714,0.5306,12.886224438848714,0.10168,-0.03191,0.284784,3.41337,-1.418332,-0.264127,-3.478271,0.001219,0.009719,-0.005952,-0.002227,7.8e-05,-0.000347,-0.0003062,-0.0003086,6.4186362870023
lhs30s2000:03,2.0,24,True,0.0020407,0.00797961491881376,0.5278,12.89034634459416,0.10286,-0.03249,0.284673,3.413796,-1.417956,-0.26414,-3.477418,0.00121,0.009993,-0.006077,-0.002287,7.7e-05,-0.000349,-0.0002865,-0.0002764,22.456362370001443
lhs30s2000:03,2.0,48,True,0.0020786,0.008019290083829175,0.5274,12.903885371183478,0.10348,-0.03276,0.284627,3.413979,-1.4178,-0.264147,-3.477067,0.001208,0.010116,-0.006127,-0.002314,7.6e-05,-0.000349,-0.0002742,-0.0002635,79.68444311700296
lhs30s2000:03,4.0,6,True,0.0053568,0.011511552772575786,0.8702,18.91143656298317,0.2177,-0.08032,0.285156,3.39983,-1.414552,-0.261628,-3.480219,0.002777,0.009226,-0.005739,-0.002121,0.000106,-0.000436,-0.000404,-0.0003996,1.292818319001526
lhs30s2000:03,4.0,12,True,0.005663,0.01182742261052705,0.8668,18.654106415680733,0.22063,-0.08134,0.28481,3.399787,-1.412816,-0.261616,-3.476238,0.002786,0.009695,-0.005942,-0.002223,0.000113,-0.000447,-0.0003903,-0.0003082,6.433992589001718
lhs30s2000:03,4.0,24,True,0.0058221,0.011991002092294156,0.8635,18.498870927772536,0.22182,-0.08191,0.284708,3.399917,-1.412362,-0.261613,-3.47531,0.002775,0.009967,-0.006067,-0.002283,0.000116,-0.000452,-0.0003783,-0.0002761,22.339221991001978
lhs30s2000:03,4.0,48,True,0.005895,0.012066119671763841,0.8623,18.435089825980768,0.22244,-0.08217,0.284666,3.399984,-1.412181,-0.261615,-3.474943,0.002772,0.01009,-0.006116,-0.00231,0.000116,-0.000454,-0.0003665,-0.0002632,78.67309190699962
lhs30s2000:04,-2.0,6,True,0.0050195,0.012039591772222913,0.7374,-16.036258010461825,-0.19307,0.08512,0.234751,3.390047,-1.3697,-0.268035,-3.246284,0.00244,0.011042,-0.006501,-0.002422,-1.7e-05,-0.000277,-0.0001532,-0.0005036,1.4276322630030336
lhs30s2000:04,-2.0,12,True,0.0050133,0.011981438114575384,0.7217,-15.869547393371356,-0.19014,0.08401,0.234464,3.393712,-1.369502,-0.268141,-3.246429,0.002482,0.011611,-0.00674,-0.00254,-3e-05,-0.00027,-5.869e-05,-0.0003916,6.825129992001166
lhs30s2000:04,-2.0,24,True,0.0050546,0.011996619225045753,0.7126,-15.75193781306994,-0.18897,0.08347,0.234409,3.395468,-1.36989,-0.268193,-3.247937,0.0025,0.011929,-0.006878,-0.002607,-3.9e-05,-0.000266,-2.051e-05,-0.0003674,24.552958462998504
