geom,angle,chord,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:05,2.0,48,True,0.0015239,0.0076311645233561095,0.2543,8.723439233455707,0.06657,-0.03742,0.38721,3.661636,-2.458876,-0.289987,-6.735606,0.002385,0.008835,-0.008076,-0.002379,0.000103,-0.000468,-0.0003847,-0.0002628,83.83314941100252
lhs30s2000:05,4.0,6,True,0.0038933,0.01025102737795396,0.774,18.585454216007236,0.19052,-0.12041,0.387114,3.651286,-2.451321,-0.287654,-6.735564,0.003965,0.008134,-0.007524,-0.002197,0.00012,-0.000521,-0.0004503,-0.0003495,1.4197432740038494
lhs30s2000:05,4.0,12,True,0.0041704,0.010536189616540837,0.7695,18.32066496762367,0.19303,-0.12219,0.38697,3.651681,-2.450669,-0.287558,-6.734677,0.004013,0.008545,-0.00786,-0.002305,0.000127,-0.00054,-0.000506,-0.0002898,6.77719451199664
lhs30s2000:05,4.0,24,True,0.0042938,0.010662344827694237,0.7663,18.17517657998195,0.19379,-0.12279,0.386915,3.651986,-2.450529,-0.28752,-6.734812,0.004023,0.008726,-0.007996,-0.002351,0.000126,-0.000544,-0.0004957,-0.0002731,23.990531661002024
lhs30s2000:05,4.0,48,True,0.0043529,0.010722973569241713,0.7651,18.116243479068586,0.19426,-0.12313,0.386875,3.652112,-2.450362,-0.287509,-6.734534,0.004029,0.008818,-0.008063,-0.002375,0.000126,-0.000546,-0.0004897,-0.0002625,83.02793857999859
lhs30s2000:06,-2.0,6,True,0.0048341,0.01255580455058812,0.7828,-18.632019880322375,-0.23394,0.12035,0.300463,3.933663,-1.805786,-0.319419,-4.197299,0.003646,0.007581,-0.004904,-0.00195,9e-06,-0.000367,-8.5e-05,-0.0001132,1.4219777729958878
lhs30s2000:06,-2.0,12,True,0.0048375,0.012467382071587168,0.7661,-18.486639671150993,-0.23048,0.11844,0.300145,3.936034,-1.804963,-0.319571,-4.19316,0.003636,0.008228,-0.005297,-0.002115,-2e-06,-0.000385,-8.514e-05,-0.0001249,6.738656519999495
lhs30s2000:06,-2.0,24,True,0.0048785,0.012468771146021884,0.7577,-18.385933731179385,-0.22925,0.11762,0.300072,3.93679,-1.804869,-0.319616,-4.191976,0.00363,0.008539,-0.005483,-0.002193,-1.1e-05,-0.000389,-7.71e-05,-0.000122,24.053568957002426
lhs30s2000:06,-2.0,48,True,0.0048985,0.01247082626525947,0.7542,-18.333187804636864,-0.22863,0.11725,0.300049,3.937018,-1.804837,-0.319628,-4.191671,0.003626,0.008675,-0.00556,-0.002228,-1.7e-05,-0.00039,-6.91e-05,-0.0001147,83.69236617199931
lhs30s2000:06,0.0,6,True,0.0015194,0.007972013756782597,0.4238,-12.07348644100249,-0.09625,0.05708,0.301028,3.953352,-1.818239,-0.31926,-4.204295,0.002526,0.007608,-0.004914,-0.001953,2.3e-05,-0.000406,-0.000109,-0.0001135,1.4075630529987393
lhs30s2000:06,0.0,12,True,0.0015484,0.00797721120655308,0.3884,-11.621856009508818,-0.09271,0.0552,0.300701,3.955393,-1.817198,-0.319365,-4.199992,0.002535,0.008258,-0.005307,-0.002118,1.6e-05,-0.000429,-0.0001156,-0.0001252,6.82703966400004
lhs30s2000:06,0.0,24,True,0.0015816,0.008002155460871381,0.3731,-11.428170878105098,-0.09145,0.05439,0.300619,3.956125,-1.817042,-0.319397,-4.198791,0.002537,0.008572,-0.005493,-0.002196,9e-06,-0.000436,-0.0001112,-0.0001223,24.373339475998364
lhs30s2000:06,0.0,48,True,0.0015963,0.008012744957834977,0.3664,-11.334442875433705,-0.09082,0.05402,0.300593,3.956366,-1.816992,-0.319406,-4.198497,0.002538,0.008709,-0.00557,-0.002231,5e-06,-0.000437,-0.0001037,-0.000115,84.74154015800013
lhs30s2000:06,2.0,6,True,0.0008501,0.006936416180522558,0.143,6.04202500387494,0.04191,-0.0065,0.301348,3.960315,-1.823377,-0.318151,-4.208631,0.002578,0.007614,-0.004915,-0.001953,2.7e-05,-0.000444,-0.0001328,-0.0001135,1.4123509240016574
lhs30s2000:06,2.0,12,True,0.0009394,0.007033362096697314,0.1541,6.470589651764173,0.04551,-0.00834,0.301013,3.961921,-1.822089,-0.318204,-4.204111,0.002613,0.008266,-0.005308,-0.002117,2.4e-05,-0.000472,-0.0001459,-0.0001252,6.828134672003216
lhs30s2000:06,2.0,24,True,0.0009877,0.007084714432452854,0.1563,6.604359349428354,0.04679,-0.00915,0.300926,3.962559,-1.821855,-0.318219,-4.202865,0.002627,0.00858,-0.005493,-0.002196,1.9e-05,-0.000481,-0.000145,-0.0001223,24.023145070997998
lhs30s2000:06,2.0,48,True,0.0010097,0.0071081443357488994,0.1578,6.672627588815397,0.04743,-0.00951,0.300897,3.962775,-1.82178,-0.318223,-4.202571,0.002633,0.008718,-0.005571,-0.00223,1.6e-05,-0.000484,-0.0001381,-0.000115,83.97262241299904
lhs30s2000:06,4.0,6,True,0.0028489,0.009176889032765307,0.7826,19.623207751236784,0.18008,-0.07012,0.301306,3.954475,-1.820431,-0.316014,-4.209083,0.003791,0.0076,-0.004906,-0.001948,2e-05,-0.000481,-0.0001562,-0.0001132,1.4147661509996396
lhs30s2000:06,4.0,12,True,0.003032,0.0093721198139771,0.7758,19.603889370470327,0.18373,-0.07191,0.300969,3.955543,-1.818891,-0.31601,-4.204332,0.003857,0.008249,-0.005298,-0.002112,2.1e-05,-0.000514,-0.0001757,-0.0001249,6.937599564000266
lhs30s2000:06,4.0,24,True,0.0031181,0.009463139099237532,0.7715,19.55376519984887,0.18504,-0.07271,0.300881,3.956018,-1.818575,-0.316007,-4.203036,0.003883,0.008564,-0.005483,-0.00219,1.8e-05,-0.000525,-0.0001784,-0.000122,23.60770949000289
lhs30s2000:06,4.0,48,True,0.0031601,0.00950742134694991,0.7698,19.53000642593465,0.18568,-0.07307,0.300853,3.95617,-1.818473,-0.316006,-4.202738,0.003897,0.008701,-0.00556,-0.002224,1.6e-05,-0.000529,-0.0001721,-0.0001147,82.730038452999
lhs30s2000:07,-2.0,6,True,0.0041132,0.010739755204501584,0.4662,-14.817842396751859,-0.15914,0.09677,0.35211,3.809252,-2.082478,-0.299513,-5.10302,0.00206,0.012053,-0.008775,-0.002992,3.7e-05,-0.000195,-0.0002627,-0.0003463,1.4262787289990229
lhs30s2000:07,-2.0,12,True,0.0041635,0.010774510257622376,0.4484,-14.470263266926885,-0.15591,0.09493,0.351901,3.810776,-2.082074,-0.299622,-5.099717,0.002065,0.012618,-0.009116,-0.003128,2.2e-05,-0.000184,-0.0002054,-0.0002817,6.815372354998544
lhs30s2000:07,-2.0,24,True,0.0042305,0.010836382434132048,0.4385,-14.264908140664126,-0.15458,0.09403,0.351876,3.811243,-2.082185,-0.299662,-5.098999,0.002062,0.012938,-0.009316,-0.003206,9e-06,-0.000176,-0.0001769,-0.0002531,24.006669749003777
lhs30s2000:07,-2.0,48,True,0.004261,0.010863931499830396,0.4333,-14.156937569276929,-0.1538,0.09353,0.351868,3.811404,-2.082221,-0.299675,-5.098826,0.002059,0.013108,-0.009423,-0.003247,3e-06,-0.000172,-0.0001649,-0.0002417,84.204964372002
lhs30s2000:07,0.0,6,True,0.0018432,0.008073701620509273,0.0276,-3.2104233248051366,-0.02592,0.02389,0.352501,3.821663,-2.091582,-0.299435,-5.109249,0.001153,0.012078,-0.008788,-0.002996,6.7e-05,-0.00029,-0.0003438,-0.000347,1.413856188999489
lhs30s2000:07,0.0,12,True,0.0019202,0.00814764935425123,0.0205,-2.7787155553260328,-0.02264,0.02207,0.352282,3.822925,-2.090975,-0.299503,-5.105801,0.001166,0.012646,-0.009129,-0.003132,5.8e-05,-0.000286,-0.000284,-0.0002822,6.866647873001057
lhs30s2000:07,0.0,24,True,0.0019816,0.008209602718263412,0.0177,-2.593304539894167,-0.02129,0.02117,0.352249,3.823354,-2.091011,-0.299526,-5.105056,0.001164,0.012969,-0.009329,-0.00321,5e-05,-0.000281,-0.0002579,-0.0002535,23.774054807996436
lhs30s2000:07,0.0,48,True,0.0020119,0.008239895549223853,0.0163,-2.4878956143965896,-0.0205,0.02067,0.352236,3.823499,-2.091014,-0.299534,-5.104885,0.001162,0.01314,-0.009436,-0.003252,4.5e-05,-0.000279,-0.0002474,-0.0002421,84.50183034299698
lhs30s2000:07,2.0,6,True,0.0022621,0.008557929825833935,0.3772,12.56378612446996,0.10752,-0.04915,0.352525,3.821376,-2.091571,-0.298268,-5.111125,0.001361,0.01207,-0.008783,-0.002994,7.4e-05,-0.000385,-0.0004242,-0.0003468,1.4177183319989126
lhs30s2000:07,2.0,12,True,0.0024189,0.008725232109962837,0.3822,12.702240880612178,0.11083,-0.05094,0.352311,3.822214,-2.090756,-0.298293,-5.107521,0.001384,0.012638,-0.009124,-0.00313,7.1e-05,-0.000388,-0.000362,-0.0002821,6.7872909550060285
lhs30s2000:07,2.0,24,True,0.0025107,0.008821900934626216,0.3812,12.71721376507993,0.11219,-0.05184,0.352277,3.822496,-2.090712,-0.298301,-5.106744,0.001384,0.012961,-0.009323,-0.003208,6.6e-05,-0.000386,-0.0003383,-0.0002534,24.010438651996083
lhs30s2000:07,2.0,48,True,0.0025599,0.00887381770520825,0.3812,12.73183693346432,0.11298,-0.05234,0.352265,3.822568,-2.090681,-0.298303,-5.106572,0.001383,0.013133,-0.00943,-0.003249,6.3e-05,-0.000385,-0.0003295,-0.000242,84.20824738800002
lhs30s2000:07,4.0,6,True,0.0053734,0.01196187308825104,0.7973,20.123938636034797,0.24072,-0.12201,0.35207,3.808378,-2.081762,-0.29596,-5.107438,0.002795,0.012029,-0.008758,-0.002985,7.8e-05,-0.000478,-0.0005035,-0.0003457,1.4176534569996875
lhs30s2000:07,4.0,12,True,0.0056622,0.012262677478875609,0.7942,19.90185262724348,0.24405,-0.12377,0.351873,3.808635,-2.080741,-0.295943,-5.103679,0.002829,0.012595,-0.009097,-0.003121,8e-05,-0.000488,-0.0004391,-0.0002813,6.900230842999008
lhs30s2000:07,4.0,24,True,0.0058198,0.012425894568254313,0.7907,19.750690676790324,0.24542,-0.12467,0.35185,3.808663,-2.080617,-0.295935,-5.102868,0.002831,0.012917,-0.009296,-0.003198,7.9e-05,-0.00049,-0.0004179,-0.0002527,24.17519543399976
lhs30s2000:07,4.0,48,True,0.0059066,0.012515824977434118,0.789,19.671895415916545,0.24621,-0.12517,0.351844,3.808605,-2.080551,-0.295931,-5.102695,0.002832,0.013088,-0.009403,-0.00324,7.8e-05,-0.000491,-0.0004106,-0.0002413,83.47936597100124
