geom,angle,span,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:01,0.0,2,True,0.0014835,0.007753520696772832,0.1843,-6.849791478870421,-0.05311,0.03225,0.286319,3.392379,-1.543539,-0.260622,-3.56964,0.001636,0.013772,-0.008653,-0.003067,-3.4e-05,-0.000208,-0.0002244,-0.0004078,6.752978761000122
lhs30s2000:01,0.0,4,True,0.0014766,0.007739243603436909,0.1843,-6.8507986977505695,-0.05302,0.0322,0.286121,3.383553,-1.538457,-0.258801,-3.560296,0.001617,0.013758,-0.008646,-0.00306,-3.3e-05,-0.000208,-0.0002235,-0.0004072,23.802480467998976
lhs30s2000:01,0.0,8,True,0.0014742,0.007735662123497566,0.1845,-6.852677786815268,-0.05301,0.03219,0.28602,3.37909,-1.535887,-0.257876,-3.555658,0.001598,0.013751,-0.008642,-0.003056,-3.3e-05,-0.000209,-0.000223,-0.000407,82.73851488299988
lhs30s2000:01,2.0,1,True,0.0014516,0.007742109575029055,0.2844,8.487350813522088,0.06571,-0.02187,0.286762,3.410779,-1.554311,-0.263039,-3.588734,0.002261,0.013826,-0.008677,-0.003084,2.1e-05,-0.000351,-0.0003538,-0.0004098,1.2813600700028474
lhs30s2000:01,2.0,2,True,0.0014503,0.007707834506921459,0.2824,8.479683877658273,0.06536,-0.02167,0.286398,3.393375,-1.544417,-0.259521,-3.570168,0.002244,0.013785,-0.008656,-0.003067,2.2e-05,-0.00035,-0.0003503,-0.0004082,6.591034786004457
lhs30s2000:01,2.0,4,True,0.0014485,0.007699515769312453,0.2814,8.460272301749807,0.06514,-0.02154,0.286202,3.384606,-1.539375,-0.257716,-3.560885,0.00223,0.013771,-0.008649,-0.003061,2.2e-05,-0.00035,-0.0003489,-0.0004076,23.138826007001626
lhs30s2000:01,2.0,8,True,0.0014474,0.007696978187219211,0.2808,8.444872574529592,0.065,-0.02146,0.286104,3.380224,-1.536852,-0.256804,-3.556319,0.002216,0.013764,-0.008646,-0.003057,2.2e-05,-0.00035,-0.0003481,-0.0004073,82.57032110699947
lhs30s2000:01,4.0,1,True,0.0041326,0.010672560411028851,0.7914,17.29669291065688,0.1846,-0.07603,0.286557,3.399444,-1.548038,-0.260698,-3.58552,0.004155,0.013798,-0.008661,-0.003078,6.2e-05,-0.000493,-0.0004797,-0.0004092,1.2981356689997483
lhs30s2000:01,4.0,2,True,0.0041317,0.010643834054996616,0.7843,17.254120935283446,0.18365,-0.07549,0.286197,3.382118,-1.538217,-0.257219,-3.567018,0.004144,0.013757,-0.00864,-0.003061,6.3e-05,-0.000492,-0.0004752,-0.0004075,6.761336061001202
lhs30s2000:01,4.0,4,True,0.0041314,0.010636535494951445,0.7809,17.216132084259634,0.18312,-0.07519,0.286006,3.373427,-1.533237,-0.255442,-3.557803,0.004135,0.013743,-0.008633,-0.003054,6.3e-05,-0.000491,-0.0004733,-0.0004069,24.515159269001742
lhs30s2000:01,4.0,8,True,0.0041311,0.010634639968970197,0.7792,17.19193132381183,0.18283,-0.07502,0.28591,3.369133,-1.530771,-0.254552,-3.553313,0.004126,0.013737,-0.00863,-0.003051,6.3e-05,-0.00049,-0.0004721,-0.0004067,82.83380626000144
lhs30s2000:02,-2.0,1,True,0.0032471,0.00981649617065089,0.6013,-16.142215842120905,-0.15846,0.08531,0.308441,3.95653,-1.864766,-0.323598,-4.557963,0.002046,0.013803,-0.009129,-0.003492,-1.7e-05,-0.00039,-0.0002409,-0.0004811,1.3466306799964514
lhs30s2000:02,-2.0,2,True,0.0032272,0.009727900254703506,0.5937,-16.17409676090429,-0.15734,0.08465,0.30819,3.93939,-1.855173,-0.319481,-4.541815,0.002069,0.013764,-0.009111,-0.003468,-1.4e-05,-0.000383,-0.0002396,-0.0004796,6.784366313000646
lhs30s2000:02,-2.0,4,True,0.0032172,0.009715272294921036,0.5899,-16.13747872841008,-0.15678,0.08432,0.308068,3.93045,-1.850231,-0.317349,-4.53349,0.002032,0.01375,-0.009106,-0.003458,-1.5e-05,-0.00038,-0.0002394,-0.000479,23.66827377899972
lhs30s2000:02,-2.0,8,True,0.0032134,0.009713277277867482,0.588,-16.110937176330342,-0.15649,0.08416,0.308005,3.925792,-1.847661,-0.31625,-4.529166,0.002013,0.013745,-0.009104,-0.003454,-1.5e-05,-0.000379,-0.0002392,-0.0004786,82.66764765800326
lhs30s2000:02,0.0,1,True,0.0012198,0.0072148153874190294,0.0258,-2.7817759599223346,-0.02007,0.02003,0.308942,3.970254,-1.874271,-0.323991,-4.565535,0.001034,0.013863,-0.009159,-0.003504,1.7e-05,-0.000517,-0.0003977,-0.0004832,1.2850072900037048
lhs30s2000:02,0.0,2,True,0.0012176,0.007158855374713465,0.0246,-2.730883496970002,-0.01955,0.0197,0.3087,3.953135,-1.864728,-0.319899,-4.549569,0.001023,0.013825,-0.009142,-0.00348,1.8e-05,-0.000509,-0.0003953,-0.0004818,6.849509272000432
lhs30s2000:02,0.0,4,True,0.0012156,0.007158863704677737,0.0241,-2.6959585761339495,-0.0193,0.01955,0.308572,3.944285,-1.85978,-0.317791,-4.54129,0.001016,0.013811,-0.009136,-0.00347,1.8e-05,-0.000506,-0.0003944,-0.0004811,23.852949741001794
lhs30s2000:02,0.0,8,True,0.0012146,0.007161180039130429,0.0238,-2.6769331165046064,-0.01917,0.01947,0.308507,3.939767,-1.85726,-0.316719,-4.537083,0.001012,0.013806,-0.009135,-0.003466,1.8e-05,-0.000505,-0.0003939,-0.0004808,82.52992885200365
lhs30s2000:02,2.0,1,True,0.0021156,0.008257708011273828,0.5027,14.357494820370988,0.11856,-0.04544,0.309129,3.970397,-1.875474,-0.323206,-4.568904,0.001188,0.013884,-0.009171,-0.003508,4.5e-05,-0.000644,-0.0005541,-0.0004841,1.295149206998758
lhs30s2000:02,2.0,2,True,0.0021276,0.00822216672973221,0.5026,14.409826982900261,0.11848,-0.04543,0.308888,3.953331,-1.865957,-0.319148,-4.553027,0.00118,0.013845,-0.009153,-0.003485,4.6e-05,-0.000635,-0.0005505,-0.0004827,6.747060920002696
lhs30s2000:02,2.0,4,True,0.0021329,0.008229969287403924,0.5025,14.390090152737102,0.11843,-0.04542,0.308761,3.944583,-1.861064,-0.317071,-4.544869,0.001176,0.013831,-0.009148,-0.003475,4.6e-05,-0.000631,-0.000549,-0.000482,23.430118970994954
lhs30s2000:02,2.0,8,True,0.0021352,0.008236323249808185,0.5025,14.37534642690929,0.1184,-0.04541,0.308699,3.94021,-1.858622,-0.316032,-4.540809,0.001173,0.013827,-0.009147,-0.003471,4.5e-05,-0.000629,-0.0005482,-0.0004817,82.74730485799955
lhs30s2000:02,4.0,1,True,0.0059403,0.012381600254609583,0.8478,20.753375550493615,0.25696,-0.1108,0.308958,3.956939,-1.868083,-0.321206,-4.567589,0.002454,0.013865,-0.009162,-0.003505,6.4e-05,-0.000768,-0.0007092,-0.0004839,1.2942726710025454
lhs30s2000:02,4.0,2,True,0.0059631,0.012368894035845599,0.8433,20.71971829148906,0.25628,-0.11046,0.308718,3.939956,-1.858622,-0.317196,-4.551796,0.00246,0.013826,-0.009144,-0.003482,6.4e-05,-0.000759,-0.0007045,-0.0004825,6.758400126000197
lhs30s2000:02,4.0,4,True,0.0059752,0.012383857283066553,0.8412,20.66642033657427,0.25593,-0.11028,0.308594,3.931323,-1.853801,-0.315159,-4.543757,0.002464,0.013812,-0.009139,-0.003472,6.4e-05,-0.000754,-0.0007024,-0.0004818,24.036828610998782
lhs30s2000:02,4.0,8,True,0.0059819,0.012394905417695265,0.8402,20.63267055147508,0.25574,-0.11018,0.308534,3.927096,-1.851446,-0.314158,-4.539844,0.002465,0.013808,-0.009138,-0.003469,6.4e-05,-0.000753,-0.0007013,-0.0004815,82.6113317920026
lhs30s2000:03,-2.0,1,True,0.0030684,0.009460274658525097,0.6187,-14.511206593382632,-0.13728,0.06735,0.284315,3.432147,-1.423785,-0.26901,-3.496977,0.001816,0.009729,-0.00595,-0.002245,-3e-06,-0.000146,-0.0001446,-0.0003107,1.231921810998756
lhs30s2000:03,-2.0,2,True,0.0030519,0.009493163042163516,0.6158,-14.382982720676225,-0.13654,0.06696,0.28399,3.402593,-1.409909,-0.265294,-3.47154,0.001806,0.00968,-0.005932,-0.00222,-2e-06,-0.000144,-0.0001362,-0.0003072,6.35717186400143
lhs30s2000:03,-2.0,4,True,0.0030402,0.009482980828600576,0.6157,-14.367845138848258,-0.13625,0.06682,0.283792,3.387741,-1.402777,-0.263376,-3.458692,0.001799,0.009656,-0.005923,-0.002209,-2e-06,-0.000144,-0.0001318,-0.0003051,22.579825480999716
lhs30s2000:03,-2.0,8,True,0.0030344,0.009481884749517312,0.6162,-14.357904952064557,-0.13614,0.06676,0.283682,3.380233,-1.399127,-0.2624,-3.452198,0.001795,0.009642,-0.005916,-0.002202,-2e-06,-0.000144,-0.0001294,-0.000304,77.69620581100025
lhs30s2000:03,0.0,1,True,0.0010966,0.006934128389452142,0.0273,-2.4862533589981757,-0.01724,0.0175,0.284824,3.443805,-1.431177,-0.26905,-3.501983,0.0009,0.009764,-0.005966,-0.002251,4e-05,-0.000249,-0.0002309,-0.0003118,1.2210436249952181
lhs30s2000:03,0.0,2,True,0.0010853,0.006974323652537041,0.0286,-2.512071545980917,-0.01752,0.0176,0.284497,3.414304,-1.417286,-0.265348,-3.476586,0.000905,0.009714,-0.005948,-0.002226,4e-05,-0.000246,-0.0002214,-0.0003083,6.387712448002276
lhs30s2000:03,0.0,4,True,0.0010753,0.0069687036835079826,0.0296,-2.547102130631103,-0.01775,0.0177,0.284298,3.399549,-1.410178,-0.263443,-3.463807,0.000908,0.009691,-0.005939,-0.002214,3.9e-05,-0.000245,-0.0002163,-0.0003062,22.787366820000898
lhs30s2000:03,0.0,8,True,0.0010693,0.006968600147597832,0.0303,-2.5686651007190253,-0.0179,0.01778,0.284188,3.39217,-1.406572,-0.262478,-3.457399,0.000908,0.009677,-0.005933,-0.002208,3.9e-05,-0.000245,-0.0002136,-0.0003051,77.30514229700202
lhs30s2000:03,2.0,1,True,0.0019764,0.00787750943821612,0.5396,13.073929115256297,0.10299,-0.03249,0.285113,3.442739,-1.432185,-0.267798,-3.50362,0.001194,0.009769,-0.00597,-0.002252,7.8e-05,-0.000351,-0.000317,-0.0003121,1.2219007819949184
lhs30s2000:03,2.0,2,True,0.0019554,0.00789059669746714,0.5306,12.886224438848714,0.10168,-0.03191,0.284784,3.41337,-1.418332,-0.264127,-3.478271,0.001219,0.009719,-0.005952,-0.002227,7.8e-05,-0.000347,-0.0003062,-0.0003086,6.4186362870023
lhs30s2000:03,2.0,4,True,0.0019379,0.007875601010885722,0.5265,12.816799614464964,0.10094,-0.03156,0.284586,3.398757,-1.411276,-0.262244,-3.465566,0.001234,0.009696,-0.005943,-0.002215,7.7e-05,-0.000346,-0.0003005,-0.0003066,22.002240227993752
