geom,angle,chord,span,ok,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff,seconds_avl
lhs30s2000:00,4.0,8,6,True,0.0032066,0.009749198559705631,0.8764,19.122597499504526,0.18643,-0.07756,0.276697,3.730743,-1.863666,-0.290742,-4.598459,0.003623,0.009426,-0.006334,-0.002397,1.9e-05,-0.000555,-0.0003021,-0.0002033,24.005939257000136
lhs30s2000:00,4.0,12,2,True,0.0033499,0.009894890330865798,0.8759,19.093693177240976,0.18893,-0.07924,0.276767,3.741584,-1.869551,-0.293334,-4.607089,0.003635,0.00982,-0.006576,-0.002501,1.9e-05,-0.000572,-0.000336,-0.0002228,6.809386876000644
lhs30s2000:00,4.0,12,4,True,0.003342,0.009883591423353568,0.8729,19.06999105149649,0.18848,-0.07895,0.276636,3.733303,-1.864532,-0.291373,-4.598983,0.003636,0.00979,-0.006559,-0.002489,1.9e-05,-0.00057,-0.000335,-0.0002221,24.45134072699875
lhs30s2000:00,4.0,12,6,True,0.0033393,0.009888432279871353,0.872,19.04447486416421,0.18832,-0.07885,0.276591,3.730584,-1.862871,-0.290718,-4.596319,0.003636,0.009782,-0.006555,-0.002486,1.9e-05,-0.000569,-0.0003347,-0.0002219,50.49219435699706
lhs30s2000:00,4.0,16,2,True,0.0033984,0.009945206943202497,0.8749,19.053399399548496,0.18949,-0.07946,0.276734,3.741622,-1.869349,-0.293333,-4.606384,0.003646,0.009923,-0.006626,-0.002526,1.6e-05,-0.000574,-0.0003144,-0.0002032,11.548901408001257
lhs30s2000:00,4.0,16,4,True,0.0033897,0.00993310695573401,0.872,19.030299466460498,0.18903,-0.07918,0.276605,3.733264,-1.864302,-0.291363,-4.598185,0.00365,0.009892,-0.006609,-0.002514,1.6e-05,-0.000572,-0.0003135,-0.0002026,40.590927456996724
lhs30s2000:00,4.0,16,6,True,0.0033866,0.009937589898235625,0.871,19.006620512035298,0.18888,-0.07908,0.276559,3.730509,-1.862621,-0.290705,-4.595484,0.00365,0.009884,-0.006604,-0.00251,1.6e-05,-0.000571,-0.0003133,-0.0002024,86.47859462400083
lhs30s2000:01,-2.0,8,2,True,0.0042008,0.010959850155405713,0.68,-15.728317226579712,-0.17238,0.08656,0.28612,3.377564,-1.535728,-0.260541,-3.565255,0.002302,0.01351,-0.008559,-0.003018,-8.6e-05,-8.1e-05,-0.0001548,-0.0004764,3.170303226001124
lhs30s2000:01,-2.0,8,4,True,0.0041946,0.0109427490746261,0.678,-15.719084740675857,-0.17201,0.08634,0.285915,3.36867,-1.530591,-0.258709,-3.555942,0.002267,0.013498,-0.008553,-0.003011,-8.5e-05,-8.2e-05,-0.000154,-0.0004756,12.039600968000741
lhs30s2000:01,-2.0,8,6,True,0.0041935,0.010968708277426076,0.6774,-15.670942799504903,-0.17189,0.08628,0.285847,3.365636,-1.528844,-0.258087,-3.552822,0.002248,0.013494,-0.008551,-0.003009,-8.5e-05,-8.3e-05,-0.0001537,-0.0004755,24.68563240399817
lhs30s2000:01,-2.0,12,2,True,0.0042268,0.010965548896461681,0.6741,-15.624388858024615,-0.17133,0.08602,0.286051,3.379146,-1.53608,-0.260581,-3.566205,0.002331,0.013719,-0.008632,-0.00306,-9.9e-05,-6.6e-05,-9.808e-05,-0.0004065,6.8850451889993565
lhs30s2000:01,-2.0,12,4,True,0.0042111,0.010938663166589906,0.672,-15.627138106062555,-0.17094,0.08579,0.28585,3.370285,-1.530976,-0.258755,-3.556799,0.002308,0.013705,-0.008625,-0.003053,-9.8e-05,-6.6e-05,-9.773e-05,-0.0004059,24.95977794600185
lhs30s2000:01,-2.0,12,6,True,0.0042078,0.010962408020695712,0.6713,-15.58234282810057,-0.17082,0.08572,0.285782,3.367275,-1.529244,-0.258137,-3.553662,0.002294,0.0137,-0.008623,-0.003051,-9.7e-05,-6.7e-05,-9.755e-05,-0.0004057,51.34167783299927
lhs30s2000:01,-2.0,16,2,True,0.0042501,0.010972143176823924,0.6673,-15.53844105499098,-0.17049,0.08562,0.286038,3.379987,-1.536393,-0.260603,-3.56705,0.002338,0.01392,-0.008742,-0.003104,-0.000107,-5.7e-05,-9.108e-05,-0.0004097,11.518178718000854
lhs30s2000:01,-2.0,16,4,True,0.0042261,0.01093716029319428,0.6652,-15.55065441491549,-0.17008,0.08539,0.28584,3.371121,-1.5313,-0.25878,-3.557578,0.00232,0.013905,-0.008735,-0.003097,-0.000106,-5.7e-05,-9.089e-05,-0.0004092,40.050970409
