cache_key,sample_id,tag,nchordwise,spanwise,cspace,alpha_deg,control_input_deg,diff_input_deg,status,ok,CLa,Clp,Cma,Cmq,Cnb,altitude_m,avl_version,b_ref,beta_deg,c_ref,cache_hit,cd_ind,cd_total,cl,cm,elevon_diff.CY,elevon_diff.Cl,elevon_diff.Cn,elevon_sym.CL,elevon_sym.Cm,geom_config_sha256,hinge_moments.elevon_diff,hinge_moments.elevon_sym,l_over_d,n_sections,n_strips,n_vortices,s_ref,seconds_avl,seconds_total,span_efficiency,src_git_sha,strips_expected,velocity_mps,viscous,vortices_expected,x_np
203fb2d8855d0532eb3668fd,extreme:wide_elevon,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.739609,-0.2931,-1.868287,-4.607316,0.003365,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.7165,0.0,0.55391,False,0.0046932,0.011347664994932796,0.21487,-0.09676,-0.00087,-0.003814,4.6e-05,0.016336,-0.010964,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0004316,-0.000575,18.93517301541316,28,108,5184,0.77939,77.71992101999786,77.71992387800128,0.8289,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,108,28.0,True,5184,0.276728
8817029fef3f37cbf5686057,lhs30s2000:01,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.384116,-0.257199,-1.538945,-3.569783,0.004228,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.5594,0.0,0.62927,False,0.0043154,0.010836612666116225,0.18578,-0.07652,-0.000488,-0.003168,5.8e-05,0.014262,-0.008888,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.000369,-0.0004543,17.14373353777739,29,112,5376,0.74569,82.1589387339991,82.15894169300009,0.7785,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.286164
d1fefcf73110a5c46bfd416f,lhs30s2000:02,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.940328,-0.31721,-1.858288,-4.550983,0.002435,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.2771,0.0,0.65443,False,0.0061433,0.012558647081246054,0.25851,-0.11165,-0.000771,-0.003607,6e-05,0.01434,-0.009406,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0004407,-0.0006878,20.58422362915472,29,112,5376,1.2584,83.19597522899858,83.19597850599894,0.8378,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.308634
078bce0588beacdbd4e044ad,lhs30s2000:03,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.399984,-0.261615,-1.412181,-3.474943,0.002772,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.8196,0.0,0.68536,False,0.005895,0.012066119671763841,0.22244,-0.08217,-0.000454,-0.00231,0.000116,0.01009,-0.006116,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0002632,-0.0003665,18.435089825980768,28,108,5184,1.069,78.67309190699962,78.6730951890022,0.8623,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,108,28.0,True,5184,0.284666
260fcafe63f4521459bbb606,lhs30s2000:04,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.406915,-0.263799,-1.377973,-3.253485,0.003856,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.5227,0.0,0.58102,False,0.0038739,0.010292852674006541,0.1688,-0.0611,-0.000636,-0.002641,0.000111,0.012131,-0.006952,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0003482,-0.0003857,16.399729535261464,29,112,5376,0.73046,84.44823756700134,84.4482404229966,0.7371,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.235
fab7371962b3a521365d3b68,lhs30s2000:05,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.652112,-0.287509,-2.450362,-6.734534,0.004029,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.7428,0.0,0.57661,False,0.0043529,0.010722973569241713,0.19426,-0.12313,-0.000546,-0.002375,0.000126,0.008818,-0.008063,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0002625,-0.0004897,18.116243479068586,29,112,5376,0.85687,83.02793857999859,83.02794217599876,0.7651,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.386875
b660bece5940191cd266312b,lhs30s2000:06,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.95617,-0.316006,-1.818473,-4.202738,0.003897,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.2661,0.0,0.65452,False,0.0031601,0.00950742134694991,0.18568,-0.07307,-0.000529,-0.002224,1.6e-05,0.008701,-0.00556,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0001147,-0.0001721,19.53000642593465,29,112,5376,1.1337,82.730038452999,82.73004183700323,0.7698,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.300853
a6f6dc65aa26d7117d70f74f,lhs30s2000:07,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.808605,-0.295931,-2.080551,-5.102695,0.002832,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.027,0.0,0.64408,False,0.0059066,0.012515824977434118,0.24621,-0.12517,-0.000491,-0.00324,7.8e-05,0.013088,-0.009403,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0002413,-0.0004106,19.671895415916545,29,112,5376,0.99526,83.47936597100124,83.47936945000038,0.789,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.351844
92ff815f017b3bfb0f52a352,lhs30s2000:08,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.836999,-0.305733,-2.341364,-6.082372,0.003357,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.3388,0.0,0.71355,False,0.0037726,0.00989726327397887,0.18709,-0.09858,-0.000664,-0.002552,8.8e-05,0.009445,-0.007407,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0002095,-0.0003997,18.903205342822673,29,112,5376,1.3703,83.17367174299943,83.17367364399979,0.7372,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.435414
d8fe3942632807166ef4e13b,lhs30s2000:09,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,3.806849,-0.296471,-1.981943,-4.843071,0.003409,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.8585,0.0,0.59077,False,0.0017893,0.008144778870200535,0.13087,-0.05142,-0.000374,-0.002216,-5.2e-05,0.008537,-0.006033,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0001108,-0.0001507,16.06796232109096,29,112,5376,0.86271,82.96031663599933,82.9603198090008,0.76,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.307568
dc1cc64470e930a35d3cb14b,lhs30s2000:10,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,4.172579,-0.333209,-2.144231,-4.963721,0.003475,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,1.6897,0.0,0.43602,False,0.0035947,0.011171528041777417,0.22998,-0.10226,-0.000341,-0.001471,1e-05,0.005081,-0.003539,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-4.681e-05,-7.919e-05,20.586261712807698,28,108,5184,0.52879,77.68727747499725,77.68727980399854,0.8716,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,108,28.0,True,5184,0.224065
95774b55edf39cfb481b150b,lhs30s2000:11,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,4.563055,-0.402061,-3.200296,-8.725228,0.003197,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.4972,0.0,0.48767,False,0.0040663,0.010903400280086765,0.25118,-0.16824,-0.000678,-0.003309,-4.6e-05,0.011878,-0.011768,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0003009,-0.0004588,23.036850298776816,29,112,5376,1.0411,82.66770697999891,82.66770899100084,0.8237,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.342024
f2da36a29a1b799dd87efb30,lhs30s2000:12,stage0_scale,48,2,1.0,4.0,4.0,4.0,SUCCESS,True,4.032711,-0.327518,-2.772576,-7.467545,0.003318,0.0,/usr/local/bin/avl:sha256=758a9c634d7bfc26,2.191,0.0,0.60218,False,0.0034429,0.009926032213114269,0.20509,-0.12494,-0.000445,-0.002487,-1.1e-05,0.008805,-0.00809,543da140a6d0eacdb86d907fc34529e875e43a4d9c573c356cb8894bc40452b3,-0.0001326,-0.000224,20.66183099114218,29,112,5376,1.066,83.0940092210003,83.09401133700158,0.8578,6bb2627b75bbf1c3cc1a35eaf5559aaeee0e0d51,112,28.0,True,5376,0.414015
