geom,cspace,chord,ok,worst_key_err_pct,cd_ind,cd_total,span_efficiency,l_over_d,cl,cm,x_np,CLa,Cma,Clp,Cmq,Cnb,elevon_sym.CL,elevon_sym.Cm,elevon_diff.Cl,elevon_diff.Cn,elevon_diff.CY,hinge_moments.elevon_sym,hinge_moments.elevon_diff
lhs30s2000:01,1.0,12,True,4.256847569170861,0.0041317,0.010643834054996616,0.7843,17.254120935283446,0.18365,-0.07549,0.286197,3.382118,-1.538217,-0.257219,-3.567018,0.004144,0.013757,-0.00864,-0.003061,6.3e-05,-0.000492,-0.0004752,-0.0004075
lhs30s2000:01,1.0,16,True,2.5976734485794952,0.0042033,0.010719315976234293,0.7819,17.21844942431109,0.18457,-0.07591,0.286184,3.382739,-1.538428,-0.25721,-3.567827,0.004173,0.01396,-0.00875,-0.003105,6.2e-05,-0.000491,-0.0004922,-0.0004107
lhs30s2000:01,1.0,24,True,1.3834175279232364,0.0042557,0.010774073443316505,0.78,17.178275326757763,0.18508,-0.07621,0.286176,3.383471,-1.53872,-0.257203,-3.568894,0.004201,0.014109,-0.008818,-0.003136,6e-05,-0.00049,-0.0004717,-0.0003894
lhs30s2000:02,0.0,8,True,3.967756381549488,0.0062227,0.012651605138919192,0.8585,20.924617634930037,0.26473,-0.11608,0.310593,3.93949,-1.86969,-0.31723,-4.575913,0.002476,0.013824,-0.009159,-0.003481,7.8e-05,-0.000772,-0.0007373,-0.0004823
lhs30s2000:02,0.0,12,True,1.9883564711150916,0.0061591,0.01257985797724356,0.8471,20.758580937272214,0.26114,-0.11387,0.309929,3.939968,-1.865914,-0.317213,-4.569983,0.002438,0.014099,-0.009311,-0.003549,7.8e-05,-0.000779,-0.0007454,-0.0004774
lhs30s2000:02,0.0,16,True,0.8060904612628733,0.006122,0.012538504336711304,0.8422,20.685880311943933,0.25937,-0.11255,0.309609,3.940243,-1.864121,-0.317211,-4.566198,0.002431,0.014186,-0.009345,-0.00357,7.6e-05,-0.000779,-0.0007176,-0.0004665
lhs30s2000:02,0.0,24,True,0.4346198297332079,0.0061166,0.012531307552202567,0.8382,20.62274817878658,0.25843,-0.11169,0.309294,3.940412,-1.862304,-0.317211,-4.561845,0.002428,0.014297,-0.009398,-0.003597,7.4e-05,-0.00078,-0.0007001,-0.0004494
lhs30s2000:02,0.5,8,True,2.2723943157586337,0.0060037,0.012414479658761857,0.8494,20.81682093035659,0.25843,-0.11257,0.309713,3.939672,-1.864479,-0.317207,-4.566625,0.002451,0.013721,-0.009115,-0.003457,7.2e-05,-0.000763,-0.0007634,-0.0005039
lhs30s2000:02,0.5,12,True,2.0900818778181085,0.0060149,0.01242412187856032,0.8424,20.704883815081217,0.25724,-0.1112,0.30933,3.940134,-1.86239,-0.317201,-4.561908,0.002444,0.013965,-0.009228,-0.003516,7e-05,-0.000769,-0.0007217,-0.0004906
lhs30s2000:02,0.5,16,True,1.627789624468938,0.0060433,0.012453375157128826,0.8395,20.651429572711425,0.25718,-0.11103,0.30915,3.940309,-1.861384,-0.317203,-4.559411,0.002438,0.01411,-0.009303,-0.003552,7e-05,-0.000772,-0.0007114,-0.000466
lhs30s2000:02,0.5,24,True,0.7504110168801834,0.0060972,0.012510180388848376,0.8383,20.616009680396132,0.25791,-0.11122,0.308977,3.94037,-1.860375,-0.317207,-4.556791,0.002438,0.01424,-0.009364,-0.003583,7e-05,-0.000775,-0.0006975,-0.0004525
lhs30s2000:02,1.0,8,True,4.5643221070108915,0.0058629,0.012263229904295061,0.8447,20.7816376263762,0.25485,-0.10969,0.308857,3.939624,-1.859301,-0.317201,-4.553407,0.00246,0.01359,-0.009053,-0.003426,6.6e-05,-0.000753,-0.0007993,-0.0005687
lhs30s2000:02,1.0,12,True,2.933276903293021,0.0059631,0.012368894035845599,0.8433,20.71971829148906,0.25628,-0.11046,0.308718,3.939956,-1.858622,-0.317196,-4.551796,0.00246,0.013826,-0.009144,-0.003482,6.4e-05,-0.000759,-0.0007045,-0.0004825
lhs30s2000:02,1.0,16,True,1.8019631142871102,0.0060326,0.012442272465098613,0.8412,20.672268729164294,0.25721,-0.11091,0.308677,3.940113,-1.858447,-0.317199,-4.551369,0.002451,0.014022,-0.009254,-0.00353,6.3e-05,-0.000764,-0.0007265,-0.0004888
lhs30s2000:02,1.0,24,True,0.9717904058079566,0.0060836,0.012495751166393926,0.8393,20.62621098707263,0.25774,-0.11127,0.308648,3.940286,-1.858352,-0.317205,-4.55113,0.002442,0.014178,-0.009328,-0.003568,6.2e-05,-0.000767,-0.000705,-0.0004636
lhs30s2000:03,0.0,8,True,4.2351223074114595,0.0058055,0.011985596611329218,0.8827,18.98695637602993,0.22757,-0.08565,0.286786,3.399527,-1.422508,-0.261636,-3.494888,0.00277,0.009678,-0.005943,-0.002219,0.000119,-0.000454,-0.0004135,-0.0003098
lhs30s2000:03,0.0,12,True,2.0688815869538675,0.0058081,0.011982240114761917,0.8719,18.73606252669063,0.2245,-0.08387,0.286071,3.399689,-1.419028,-0.261621,-3.490172,0.002754,0.009869,-0.006031,-0.002261,0.000121,-0.000457,-0.0003952,-0.0002858
lhs30s2000:03,0.0,16,True,1.3418150975402943,0.0058159,0.011987666055230639,0.8664,18.614966330550377,0.22315,-0.08289,0.285726,3.399853,-1.417388,-0.261616,-3.487204,0.002753,0.009967,-0.006076,-0.002283,0.000123,-0.000458,-0.0003866,-0.0002781
lhs30s2000:03,0.0,24,True,0.9262086513994935,0.0058404,0.012010870031022396,0.8626,18.510732313791816,0.22233,-0.08215,0.285379,3.400009,-1.415728,-0.261613,-3.483721,0.002761,0.010049,-0.006107,-0.002301,0.000123,-0.000459,-0.0003757,-0.0002718
lhs30s2000:03,0.5,8,True,4.4410517387616695,0.0056332,0.011800186426133685,0.8736,18.83275331208588,0.22223,-0.08292,0.285854,3.399678,-1.417949,-0.261624,-3.487998,0.002766,0.009566,-0.005887,-0.002195,0.000114,-0.000448,-0.000395,-0.0002987
lhs30s2000:03,0.5,12,True,3.000848176420692,0.0057181,0.011885376181950076,0.8656,18.638030181696312,0.22152,-0.08197,0.285447,3.399813,-1.415986,-0.261614,-3.48409,0.002763,0.009827,-0.00602,-0.002253,0.000118,-0.000453,-0.0004117,-0.0003063
lhs30s2000:03,0.5,16,True,2.305343511450389,0.0057591,0.011926369647578997,0.8636,18.555520794621938,0.2213,-0.08168,0.285248,3.399922,-1.415043,-0.261612,-3.481994,0.00277,0.009903,-0.006042,-0.002269,0.000119,-0.000454,-0.000384,-0.0002864
lhs30s2000:03,0.5,24,True,0.9872773536895748,0.0058368,0.012006282978550924,0.8624,18.4861543240744,0.22195,-0.08182,0.285046,3.39996,-1.414059,-0.261611,-3.479728,0.002773,0.010015,-0.006091,-0.002294,0.00012,-0.000456,-0.0003782,-0.0002762
lhs30s2000:03,1.0,8,True,6.610687022900759,0.0055053,0.011665466017191511,0.8681,18.802506447385515,0.21934,-0.08067,0.28496,3.399802,-1.413564,-0.261622,-3.477904,0.002781,0.009481,-0.00586,-0.002177,0.000111,-0.000442,-0.000427,-0.0003217
lhs30s2000:03,1.0,12,True,3.9355385920271493,0.005663,0.01182742261052705,0.8668,18.654106415680733,0.22063,-0.08134,0.28481,3.399787,-1.412816,-0.261616,-3.476238,0.002786,0.009695,-0.005942,-0.002223,0.000113,-0.000447,-0.0003903,-0.0003082
lhs30s2000:03,1.0,16,True,2.4393553859202775,0.0057512,0.011918373750823713,0.8651,18.57552084106266,0.22139,-0.08166,0.284757,3.399815,-1.412565,-0.261614,-3.475709,0.002779,0.009845,-0.006016,-0.002256,0.000114,-0.00045,-0.0003915,-0.0002884
lhs30s2000:03,1.0,24,True,1.2366412213740436,0.0058221,0.011991002092294156,0.8635,18.498870927772536,0.22182,-0.08191,0.284708,3.399917,-1.412362,-0.261613,-3.47531,0.002775,0.009967,-0.006067,-0.002283,0.000116,-0.000452,-0.0003783,-0.0002761
