"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          18,      -8.573372025,      -6.477108539,      -7.840454536,      -4.735224525,      -10.46893005,   1.230014733e-08,   0.0009893968551,               100,               100,               100,       6409.460359,    0.002866138648,     -0.1882817619,                 0,                 0,                 0,     -0.1407302271,    0.002866138648,     -0.1882817619,                 0,      -65.69178434,              -nan
          0,           0,          19,      -8.573438076,      -6.477477936,      -7.840767238,      -4.735543116,      -10.46924951,   1.230015688e-08,    0.000989396855,               100,               100,               100,       6409.460359,    0.002866137514,     -0.1882817648,                 0,                 0,                 0,     -0.1407302292,    0.002866137514,     -0.1882817648,                 0,      -65.69181134,              -nan
          0,           0,          20,       -8.57350413,      -6.477847353,      -7.841079907,      -4.735861661,      -10.46956894,   1.230016647e-08,   0.0009893968549,               100,               100,               100,       6409.460359,    0.002866136382,     -0.1882817677,                 0,                 0,                 0,     -0.1407302314,    0.002866136382,     -0.1882817677,                 0,      -65.69183831,              -nan
          0,           0,          21,      -8.573570187,      -6.478216791,      -7.841392684,      -4.736180269,      -10.46988836,   1.230017608e-08,   0.0009893968548,               100,               100,               100,       6409.460359,     0.00286613525,     -0.1882817706,                 0,                 0,                 0,     -0.1407302336,     0.00286613525,     -0.1882817706,                 0,      -65.69186526,              -nan
          0,           0,          22,      -8.573636245,       -6.47858625,      -7.841705264,      -4.736498767,      -10.47020776,   1.230018573e-08,   0.0009893968548,               100,               100,               100,       6409.460359,    0.002866134119,     -0.1882817735,                 0,                 0,                 0,     -0.1407302358,    0.002866134119,     -0.1882817735,                 0,      -65.69189219,              -nan
          0,           0,          23,      -8.573702307,       -6.47895573,      -7.842018023,      -4.736817326,      -10.47052714,    1.23001954e-08,   0.0009893968547,               100,               100,               100,       6409.460359,    0.002866132989,     -0.1882817764,                 0,                 0,                 0,      -0.140730238,    0.002866132989,     -0.1882817764,                 0,       -65.6919191,              -nan
          0,           0,          24,      -8.573768371,      -6.479325231,      -7.842330752,      -4.737135839,       -10.4708465,   1.230020511e-08,   0.0009893968546,               100,               100,               100,       6409.460359,     0.00286613186,     -0.1882817793,                 0,                 0,                 0,     -0.1407302402,     0.00286613186,     -0.1882817793,                 0,      -65.69194599,              -nan
          0,           0,          25,      -8.573834437,      -6.479694753,      -7.842643307,       -4.73745429,      -10.47116584,   1.230021484e-08,   0.0009893968545,               100,               100,               100,       6409.460359,    0.002866130732,     -0.1882817822,                 0,                 0,                 0,     -0.1407302423,    0.002866130732,     -0.1882817822,                 0,      -65.69197286,              -nan
          0,           0,          26,      -8.573900506,      -6.480064296,      -7.842956065,      -4.737772785,      -10.47148515,    1.23002246e-08,   0.0009893968545,               100,               100,               100,       6409.460359,    0.002866129604,     -0.1882817851,                 0,                 0,                 0,     -0.1407302445,    0.002866129604,     -0.1882817851,                 0,      -65.69199971,              -nan
          0,           0,          27,      -8.573966578,      -6.480433859,      -7.843268718,      -4.738091247,      -10.47180445,   1.230023439e-08,   0.0009893968544,               100,               100,               100,       6409.460359,    0.002866128478,      -0.188281788,                 0,                 0,                 0,     -0.1407302467,    0.002866128478,      -0.188281788,                 0,      -65.69202654,              -nan
          0,           0,          28,      -8.574032652,      -6.480803444,      -7.843581425,      -4.738409681,      -10.47212373,   1.230024421e-08,   0.0009893968543,               100,               100,               100,       6409.460359,    0.002866127352,     -0.1882817909,                 0,                 0,                 0,     -0.1407302488,    0.002866127352,     -0.1882817909,                 0,      -65.69205334,              -nan
          0,           0,          29,      -8.574098729,       -6.48117305,      -7.843894057,      -4.738728093,      -10.47244299,   1.230025406e-08,   0.0009893968542,               100,               100,               100,       6409.460359,    0.002866126227,     -0.1882817938,                 0,                 0,                 0,      -0.140730251,    0.002866126227,     -0.1882817938,                 0,      -65.69208013,              -nan
          0,           0,          30,      -8.574164808,      -6.481542676,      -7.844206736,      -4.739046519,      -10.47276223,   1.230026394e-08,   0.0009893968542,               100,               100,               100,       6409.460359,    0.002866125104,     -0.1882817967,                 0,                 0,                 0,     -0.1407302532,    0.002866125104,     -0.1882817967,                 0,       -65.6921069,              -nan
          0,           0,          31,       -8.57423089,      -6.481912324,      -7.844519338,      -4.739364887,      -10.47308145,   1.230027385e-08,   0.0009893968541,               100,               100,               100,       6409.460359,     0.00286612398,     -0.1882817996,                 0,                 0,                 0,     -0.1407302554,     0.00286612398,     -0.1882817996,                 0,      -65.69213364,              -nan
          0,           0,          32,      -8.574296974,      -6.482281992,      -7.844832035,      -4.739683233,      -10.47340065,   1.230028379e-08,    0.000989396854,               100,               100,               100,       6409.460359,    0.002866122858,     -0.1882818024,                 0,                 0,                 0,     -0.1407302575,    0.002866122858,     -0.1882818024,                 0,      -65.69216037,              -nan
          0,           0,          33,      -8.574363061,      -6.482651681,      -7.845144682,      -4.740001623,      -10.47371983,   1.230029376e-08,   0.0009893968539,               100,               100,               100,       6409.460359,    0.002866121737,     -0.1882818053,                 0,                 0,                 0,     -0.1407302597,    0.002866121737,     -0.1882818053,                 0,      -65.69218707,              -nan
          0,           0,          34,       -8.57442915,      -6.483021392,      -7.845457305,      -4.740319954,      -10.47403899,   1.230030376e-08,   0.0009893968539,               100,               100,               100,       6409.460359,    0.002866120617,     -0.1882818082,                 0,                 0,                 0,     -0.1407302618,    0.002866120617,     -0.1882818082,                 0,      -65.69221376,              -nan
          0,           0,          35,      -8.574495242,      -6.483391123,      -7.845769966,      -4.740638245,      -10.47435813,   1.230031378e-08,   0.0009893968538,               100,               100,               100,       6409.460359,    0.002866119497,     -0.1882818111,                 0,                 0,                 0,      -0.140730264,    0.002866119497,     -0.1882818111,                 0,      -65.69224042,              -nan
          0,           0,          36,      -8.574561336,      -6.483760875,       -7.84608261,      -4.740956569,      -10.47467725,   1.230032384e-08,   0.0009893968537,               100,               100,               100,       6409.460359,    0.002866118378,     -0.1882818139,                 0,                 0,                 0,     -0.1407302662,    0.002866118378,     -0.1882818139,                 0,      -65.69226707,              -nan
          0,           0,          37,      -8.574627433,      -6.484130648,      -7.846395252,      -4.741274839,      -10.47499635,   1.230033393e-08,   0.0009893968537,               100,               100,               100,       6409.460359,     0.00286611726,     -0.1882818168,                 0,                 0,                 0,     -0.1407302683,     0.00286611726,     -0.1882818168,                 0,      -65.69229369,              -nan
          0,           0,          38,      -8.574693532,      -6.484500442,      -7.846707904,      -4.741593122,      -10.47531543,   1.230034404e-08,   0.0009893968536,               100,               100,               100,       6409.460359,    0.002866116143,     -0.1882818197,                 0,                 0,                 0,     -0.1407302705,    0.002866116143,     -0.1882818197,                 0,      -65.69232029,              -nan
          0,           0,          39,      -8.574759634,      -6.484870257,      -7.847020499,      -4.741911343,      -10.47563448,   1.230035419e-08,   0.0009893968535,               100,               100,               100,       6409.460359,    0.002866115027,     -0.1882818225,                 0,                 0,                 0,     -0.1407302726,    0.002866115027,     -0.1882818225,                 0,      -65.69234687,              -nan
          0,           0,          40,      -8.574825738,      -6.485240093,      -7.847333104,      -4.742229575,      -10.47595352,   1.230036436e-08,   0.0009893968534,               100,               100,               100,       6409.460359,    0.002866113912,     -0.1882818254,                 0,                 0,                 0,     -0.1407302748,    0.002866113912,     -0.1882818254,                 0,      -65.69237344,              -nan
          0,           0,          41,      -8.574891845,       -6.48560995,      -7.847645695,      -4.742547797,      -10.47627254,   1.230037456e-08,   0.0009893968534,               100,               100,               100,       6409.460359,    0.002866112797,     -0.1882818283,                 0,                 0,                 0,     -0.1407302769,    0.002866112797,     -0.1882818283,                 0,      -65.69239998,              -nan
          0,           0,          42,      -8.574957955,      -6.485979827,      -7.847958385,      -4.742865985,      -10.47659154,    1.23003848e-08,   0.0009893968533,               100,               100,               100,       6409.460359,    0.002866111684,     -0.1882818311,                 0,                 0,                 0,     -0.1407302791,    0.002866111684,     -0.1882818311,                 0,       -65.6924265,              -nan
          0,           0,          43,      -8.575024067,      -6.486349726,       -7.84827094,      -4.743184149,      -10.47691052,   1.230039506e-08,   0.0009893968532,               100,               100,               100,       6409.460359,    0.002866110571,      -0.188281834,                 0,                 0,                 0,     -0.1407302812,    0.002866110571,      -0.188281834,                 0,        -65.692453,              -nan
          0,           0,          44,      -8.575090181,      -6.486719646,      -7.848583545,      -4.743502302,      -10.47722948,   1.230040535e-08,   0.0009893968531,               100,               100,               100,       6409.460359,    0.002866109459,     -0.1882818368,                 0,                 0,                 0,     -0.1407302834,    0.002866109459,     -0.1882818368,                 0,      -65.69247948,              -nan
          0,           0,          45,      -8.575156298,      -6.487089586,      -7.848896191,      -4.743820464,      -10.47754842,   1.230041567e-08,   0.0009893968531,               100,               100,               100,       6409.460359,    0.002866108348,     -0.1882818397,                 0,                 0,                 0,     -0.1407302855,    0.002866108348,     -0.1882818397,                 0,      -65.69250594,              -nan
          0,           0,          46,      -8.575222417,      -6.487459547,      -7.849208765,      -4.744138548,      -10.47786734,   1.230042602e-08,    0.000989396853,               100,               100,               100,       6409.460359,    0.002866107238,     -0.1882818426,                 0,                 0,                 0,     -0.1407302877,    0.002866107238,     -0.1882818426,                 0,      -65.69253238,              -nan
          0,           0,          47,      -8.575288539,       -6.48782953,      -7.849521358,      -4.744456696,      -10.47818624,    1.23004364e-08,   0.0009893968529,               100,               100,               100,       6409.460359,    0.002866106129,     -0.1882818454,                 0,                 0,                 0,     -0.1407302898,    0.002866106129,     -0.1882818454,                 0,       -65.6925588,              -nan
          0,           0,          48,      -8.575354664,      -6.488199533,      -7.849833963,      -4.744774753,      -10.47850512,   1.230044681e-08,   0.0009893968528,               100,               100,               100,       6409.460359,     0.00286610502,     -0.1882818482,                 0,                 0,                 0,      -0.140730292,     0.00286610502,     -0.1882818482,                 0,       -65.6925852,              -nan
          0,           0,          49,      -8.575420791,      -6.488569557,      -7.850146509,      -4.745092839,      -10.47882398,   1.230045724e-08,   0.0009893968528,               100,               100,               100,       6409.460359,    0.002866103913,     -0.1882818511,                 0,                 0,                 0,     -0.1407302941,    0.002866103913,     -0.1882818511,                 0,      -65.69261158,              -nan
          0,           0,          50,       -8.57548692,      -6.488939603,      -7.850459155,      -4.745410881,      -10.47914281,   1.230046771e-08,   0.0009893968527,               100,               100,               100,       6409.460359,    0.002866102806,     -0.1882818539,                 0,                 0,                 0,     -0.1407302963,    0.002866102806,     -0.1882818539,                 0,      -65.69263794,              -nan
          0,           0,          51,      -8.575553052,      -6.489309669,      -7.850771694,      -4.745728937,      -10.47946163,   1.230047821e-08,   0.0009893968526,               100,               100,               100,       6409.460359,      0.0028661017,     -0.1882818568,                 0,                 0,                 0,     -0.1407302984,      0.0028661017,     -0.1882818568,                 0,      -65.69266428,              -nan
          0,           0,          52,      -8.575619187,      -6.489679756,      -7.851084206,      -4.746046882,      -10.47978043,   1.230048873e-08,   0.0009893968526,               100,               100,               100,       6409.460359,    0.002866100595,     -0.1882818596,                 0,                 0,                 0,     -0.1407303005,    0.002866100595,     -0.1882818596,                 0,       -65.6926906,              -nan
          0,           0,          53,      -8.575685324,      -6.490049864,      -7.851396856,      -4.746364932,      -10.48009921,   1.230049929e-08,   0.0009893968525,               100,               100,               100,       6409.460359,    0.002866099491,     -0.1882818625,                 0,                 0,                 0,     -0.1407303027,    0.002866099491,     -0.1882818625,                 0,       -65.6927169,              -nan
