  MK 96
  1.000000      0.000000
  0.990000      0.001835
  0.980000      0.003641
  0.970000      0.005479
  0.960000      0.007395
  0.950000      0.009422
  0.940000      0.011583
  0.930000      0.013893
  0.920000      0.016357
  0.910000      0.018976
  0.900000      0.021744
  0.890000      0.024650
  0.880000      0.027683
  0.870000      0.030825
  0.860000      0.034059
  0.850000      0.037365
  0.840000      0.040724
  0.830000      0.044115
  0.820000      0.047518
  0.810000      0.050915
  0.800000      0.054285
  0.790000      0.057612
  0.780000      0.060879
  0.770000      0.064070
  0.760000      0.067173
  0.750000      0.070175
  0.740000      0.073066
  0.730000      0.075837
  0.720000      0.078481
  0.710000      0.080991
  0.700000      0.083364
  0.690000      0.085597
  0.680000      0.087687
  0.670000      0.089636
  0.660000      0.091443
  0.650000      0.093110
  0.640000      0.094640
  0.630000      0.096037
  0.620000      0.097305
  0.610000      0.098447
  0.600000      0.099470
  0.590000      0.100379
  0.580000      0.101178
  0.570000      0.101875
  0.560000      0.102474
  0.550000      0.102980
  0.540000      0.103401
  0.530000      0.103740
  0.520000      0.104002
  0.510000      0.104192
  0.500000      0.104315
  0.490000      0.104374
  0.480000      0.104372
  0.470000      0.104312
  0.460000      0.104196
  0.450000      0.104027
  0.440000      0.103805
  0.430000      0.103532
  0.420000      0.103209
  0.410000      0.102835
  0.400000      0.102409
  0.390000      0.101933
  0.380000      0.101404
  0.370000      0.100822
  0.360000      0.100186
  0.350000      0.099493
  0.340000      0.098743
  0.330000      0.097933
  0.320000      0.097063
  0.310000      0.096130
  0.300000      0.095132
  0.290000      0.094070
  0.280000      0.092940
  0.270000      0.091741
  0.260000      0.090472
  0.250000      0.089133
  0.240000      0.087721
  0.230000      0.086236
  0.220000      0.084677
  0.210000      0.083042
  0.200000      0.081330
  0.190000      0.079540
  0.180000      0.077669
  0.170000      0.075715
  0.160000      0.073674
  0.150000      0.071542
  0.140000      0.069314
  0.130000      0.066983
  0.120000      0.064539
  0.110000      0.061971
  0.100000      0.059263
  0.090000      0.056396
  0.080000      0.053344
  0.070000      0.050073
  0.060000      0.046533
  0.050000      0.042656
  0.040000      0.038335
  0.030000      0.033388
  0.020000      0.027461
  0.010000      0.019630
  0.000000      0.000000
  0.000000     -0.000000
  0.010000     -0.019268
  0.020000     -0.025461
  0.030000     -0.029219
  0.040000     -0.031752
  0.050000     -0.033573
  0.060000     -0.034954
  0.070000     -0.036058
  0.080000     -0.036983
  0.090000     -0.037792
  0.100000     -0.038524
  0.110000     -0.039204
  0.120000     -0.039844
  0.130000     -0.040453
  0.140000     -0.041032
  0.150000     -0.041583
  0.160000     -0.042103
  0.170000     -0.042591
  0.180000     -0.043043
  0.190000     -0.043460
  0.200000     -0.043838
  0.210000     -0.044177
  0.220000     -0.044477
  0.230000     -0.044737
  0.240000     -0.044960
  0.250000     -0.045147
  0.260000     -0.045299
  0.270000     -0.045419
  0.280000     -0.045509
  0.290000     -0.045573
  0.300000     -0.045613
  0.310000     -0.045632
  0.320000     -0.045632
  0.330000     -0.045616
  0.340000     -0.045587
  0.350000     -0.045545
  0.360000     -0.045494
  0.370000     -0.045433
  0.380000     -0.045365
  0.390000     -0.045289
  0.400000     -0.045206
  0.410000     -0.045116
  0.420000     -0.045018
  0.430000     -0.044912
  0.440000     -0.044797
  0.450000     -0.044671
  0.460000     -0.044534
  0.470000     -0.044384
  0.480000     -0.044220
  0.490000     -0.044040
  0.500000     -0.043843
  0.510000     -0.043628
  0.520000     -0.043393
  0.530000     -0.043138
  0.540000     -0.042862
  0.550000     -0.042565
  0.560000     -0.042246
  0.570000     -0.041906
  0.580000     -0.041544
  0.590000     -0.041161
  0.600000     -0.040758
  0.610000     -0.040335
  0.620000     -0.039895
  0.630000     -0.039437
  0.640000     -0.038964
  0.650000     -0.038476
  0.660000     -0.037975
  0.670000     -0.037462
  0.680000     -0.036938
  0.690000     -0.036404
  0.700000     -0.035859
  0.710000     -0.035304
  0.720000     -0.034739
  0.730000     -0.034160
  0.740000     -0.033568
  0.750000     -0.032959
  0.760000     -0.032329
  0.770000     -0.031676
  0.780000     -0.030993
  0.790000     -0.030275
  0.800000     -0.029516
  0.810000     -0.028709
  0.820000     -0.027846
  0.830000     -0.026920
  0.840000     -0.025922
  0.850000     -0.024844
  0.860000     -0.023680
  0.870000     -0.022423
  0.880000     -0.021066
  0.890000     -0.019608
  0.900000     -0.018046
  0.910000     -0.016383
  0.920000     -0.014625
  0.930000     -0.012782
  0.940000     -0.010872
  0.950000     -0.008918
  0.960000     -0.006953
  0.970000     -0.005019
  0.980000     -0.003168
  0.990000     -0.001468
  1.000000     -0.000000
