# x/c  z/c_upper  z/c_lower   median camber and thickness of 17 scanned sections, Savitzky-Golay window 41
0.0000000 0.0000012 0.0000012
0.0000003 0.0002018 -0.0001352
0.0000010 0.0003828 -0.0002516
0.0000023 0.0005658 -0.0003701
0.0000040 0.0007509 -0.0004904
0.0000063 0.0009377 -0.0006124
0.0000090 0.0011261 -0.0007358
0.0000123 0.0013159 -0.0008604
0.0000160 0.0015068 -0.0009861
0.0000203 0.0016987 -0.0011127
0.0000250 0.0018913 -0.0012400
0.0000303 0.0020845 -0.0013678
0.0000360 0.0022781 -0.0014959
0.0000423 0.0024718 -0.0016241
0.0000490 0.0026655 -0.0017522
0.0000563 0.0028590 -0.0018801
0.0000641 0.0030520 -0.0020075
0.0000723 0.0032443 -0.0021343
0.0000811 0.0034358 -0.0022602
0.0000903 0.0036263 -0.0023851
0.0001001 0.0038155 -0.0025088
0.0001104 0.0040001 -0.0026282
0.0001211 0.0041819 -0.0027447
0.0001324 0.0043608 -0.0028586
0.0001441 0.0045376 -0.0029704
0.0001564 0.0047132 -0.0030811
0.0001692 0.0048874 -0.0031906
0.0001824 0.0050592 -0.0032977
0.0001962 0.0052286 -0.0034024
0.0002105 0.0053964 -0.0035057
0.0002252 0.0055626 -0.0036075
0.0002405 0.0057271 -0.0037076
0.0002563 0.0058896 -0.0038058
0.0002725 0.0060501 -0.0039021
0.0002893 0.0062086 -0.0039964
0.0003066 0.0063651 -0.0040886
0.0003243 0.0065194 -0.0041789
0.0003426 0.0066718 -0.0042671
0.0003614 0.0068221 -0.0043533
0.0003806 0.0069705 -0.0044377
0.0004004 0.0071170 -0.0045202
0.0004207 0.0072619 -0.0046010
0.0004414 0.0074053 -0.0046803
0.0004627 0.0075473 -0.0047582
0.0004845 0.0076876 -0.0048344
0.0005068 0.0078261 -0.0049087
0.0005295 0.0079633 -0.0049817
0.0005528 0.0080997 -0.0050540
0.0005766 0.0082356 -0.0051255
0.0006009 0.0083689 -0.0051944
0.0006256 0.0085011 -0.0052622
0.0006509 0.0086337 -0.0053302
0.0006767 0.0087671 -0.0053990
0.0007030 0.0089021 -0.0054692
0.0007297 0.0090374 -0.0055396
0.0007570 0.0091727 -0.0056099
0.0007848 0.0093082 -0.0056802
0.0008131 0.0094439 -0.0057505
0.0008418 0.0095795 -0.0058213
0.0008711 0.0097153 -0.0058923
0.0009009 0.0098513 -0.0059635
0.0009312 0.0099877 -0.0060351
0.0009620 0.0101266 -0.0061087
0.0009932 0.0102695 -0.0061846
0.0010250 0.0104164 -0.0062632
0.0010573 0.0105665 -0.0063444
0.0010901 0.0107183 -0.0064269
0.0011234 0.0108715 -0.0065109
0.0011572 0.0110266 -0.0065972
0.0011914 0.0111836 -0.0066862
0.0012262 0.0113411 -0.0067768
0.0012615 0.0114988 -0.0068690
0.0012973 0.0116562 -0.0069626
0.0013336 0.0118131 -0.0070576
0.0013704 0.0119690 -0.0071537
0.0014077 0.0121236 -0.0072509
0.0014454 0.0122765 -0.0073490
0.0014837 0.0124275 -0.0074477
0.0015225 0.0125762 -0.0075470
0.0015618 0.0127223 -0.0076466
0.0016016 0.0128656 -0.0077463
0.0016419 0.0130060 -0.0078462
0.0016827 0.0131432 -0.0079460
0.0017240 0.0132769 -0.0080453
0.0017658 0.0134066 -0.0081436
0.0018081 0.0135328 -0.0082415
0.0018509 0.0136560 -0.0083392
