"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          17,      -11.32846352,       -9.68123926,       -10.2979733,      -10.98163625,      -12.47951018,      -5.456552114,      -3.434723873,   9.949888432e-05,       6.460275022,                40,                40,                40,    0.001789260784,     0.01076171931,      0.6051148528,                 0,                 0,                 0,     0.07813403217,    -0.01036304024,      0.6051218118,                 0,       56.22845524,    0.002390236486
          0,           0,          18,      -11.32838049,      -9.681241858,      -10.29788449,      -10.98155745,      -12.47951093,      -5.456589386,      -3.434627627,   9.949888486e-05,       6.460275023,                40,                40,                40,    0.001789260784,     0.01076130109,      0.6051092352,                 0,                 0,                 0,     0.07813327559,    -0.01036326216,       0.605116183,                 0,       56.23011845,    0.002390236486
          0,           0,          19,      -11.32829741,      -9.681244414,      -10.29779579,      -10.98147863,      -12.47951162,      -5.456626619,      -3.434533063,   9.949888539e-05,       6.460275024,                40,                40,                40,    0.001789260784,     0.01076088319,      0.6051036159,                 0,                 0,                 0,     0.07813251878,     -0.0103634837,      0.6051105525,                 0,       56.23177998,    0.002390236486
          0,           0,          20,      -11.32821438,       -9.68124693,      -10.29770721,      -10.98139991,      -12.47951225,      -5.456663813,      -3.434440193,   9.949888593e-05,       6.460275026,                40,                40,                40,    0.001789260784,      0.0107604656,      0.6050979949,                 0,                 0,                 0,     0.07813176172,    -0.01036370486,      0.6051049204,                 0,       56.23343985,    0.002390236486
          0,           0,          21,      -11.32813148,      -9.681249409,      -10.29761869,      -10.98132144,       -12.4795128,      -5.456700968,      -3.434348943,   9.949888646e-05,       6.460275027,                40,                40,                40,    0.001789260784,     0.01076004831,      0.6050923722,                 0,                 0,                 0,     0.07813100443,    -0.01036392566,      0.6050992865,                 0,       56.23509807,    0.002390236486
          0,           0,          22,      -11.32804898,      -9.681251854,      -10.29753022,      -10.98124362,      -12.47951329,      -5.456738084,       -3.43425923,     9.9498887e-05,       6.460275028,                40,                40,                40,    0.001789260784,     0.01075963134,      0.6050867478,                 0,                 0,                 0,     0.07813024691,    -0.01036414609,       0.605093651,                 0,       56.23675463,    0.002390236486
          0,           0,          23,       -11.3279667,      -9.681254267,      -10.29744175,      -10.98116625,      -12.47951372,      -5.456775161,      -3.434170967,   9.949888753e-05,       6.460275029,                40,                40,                40,    0.001789260784,     0.01075921469,      0.6050811218,                 0,                 0,                 0,     0.07812948919,    -0.01036436615,       0.605088014,                 0,       56.23840953,    0.002390236486
          0,           0,          24,      -11.32788441,      -9.681256652,      -10.29735326,      -10.98108906,      -12.47951407,      -5.456812199,      -3.434084073,   9.949888807e-05,        6.46027503,                40,                40,                40,    0.001789260784,     0.01075879835,      0.6050754943,                 0,                 0,                 0,     0.07812873129,    -0.01036458583,      0.6050823753,                 0,       56.24006272,    0.002390236486
          0,           0,          25,      -11.32780215,       -9.68125901,      -10.29726475,      -10.98101197,      -12.47951435,      -5.456849199,      -3.433998476,    9.94988886e-05,       6.460275031,                40,                40,                40,    0.001789260784,     0.01075838235,      0.6050698652,                 0,                 0,                 0,     0.07812797326,    -0.01036480513,      0.6050767351,                 0,       56.24171419,    0.002390236486
          0,           0,          26,       -11.3277196,      -9.681261342,      -10.29717622,      -10.98093475,      -12.47951456,       -5.45688616,       -3.43391412,   9.949888913e-05,       6.460275032,                40,                40,                40,    0.001789260784,     0.01075796668,      0.6050642346,                 0,                 0,                 0,     0.07812721511,    -0.01036502404,      0.6050710934,                 0,       56.24336388,    0.002390236486
