case,kind,policy,placement_n_sections,ramp_fraction,max_gap_ratio,sections_in_band,solver_n_strips,solver_n_vortices,worst_all_error,worst_control_error,err_CL,err_CDind,err_CDtotal,err_Cm,err_e,err_Xnp,err_CLa,err_Cma,err_Clp,err_Cmq,err_Cnb,err_CL_de,err_Cm_de,err_Cl_da,err_Cn_da,err_CY_da
benign,constructed,uniform_pinned25,25,0.2299571712540133,1.2953094507364686,10,192,4608,0.026315789473684313,0.026315789473684313,0.0008093982702003075,0.00134885180659333,0.017606348778406482,0.0006814521125015424,0.00010465724751437885,0.0001281509105122288,4.01401464542461e-05,0.0004613293604118465,0.00013403291979260118,0.0007966669797832464,0.0014443909484833726,0.0015796474891918788,0.0015110305228164993,0.0006849315068492575,0.026315789473684313,0.0047169811320754585
benign,constructed,current_sum_sqrt_w3,25,0.08842022651145472,2.162115529043932,11,192,4608,0.028076193539650456,0.005792163543441257,0.0016866913123844926,0.005516365216809819,0.028076193539650456,0.0006195403010965181,0.0018804847471792976,5.980375823909543e-05,0.00153787575348493,0.0003507747418670294,0.0010297651154806526,0.0006085232138461127,0.0009620009620010896,0.004888962545575077,0.0036188178528346977,0.005792163543441257,0.0,0.0047169811320754585
benign,constructed,proposed_sqrt_sum_w3,25,0.08876555499596835,2.4320018177225626,11,192,4608,0.028065530440351167,0.005114217524718658,0.001479050634374001,0.0053224566213099424,0.028065530440351167,0.0002479082739385466,0.001567561918695732,5.980375823909543e-05,0.0015321588083775997,0.0003194305904762401,0.0009545759165725461,0.0008161112408916597,0.0009620009620010896,0.004228855721392949,0.0028670590010562726,0.005114217524718658,0.0,0.0047169811320754585
benign,constructed,proposed_max_channel_w3,25,0.0771854518188669,2.3320583139010562,11,192,4608,0.025854656365649174,0.005792163543441257,0.001802009934157336,0.005008190966534002,0.025854656365649174,0.0008052527254707088,0.00177619893428056,5.5532061222017185e-05,0.0015461911931385585,0.00033771491765837537,0.0008630412396410091,0.0007424421389454391,0.0009620009620010896,0.005136277027586742,0.00391920410009044,0.005792163543441257,0.0,0.0047169811320754585
benign,constructed,proposed_sqrt_sum_w3_no_thickness,25,0.08114377076093704,2.484289198066046,11,192,4608,0.025844702657487555,0.005453306066802984,0.0017097571682723664,0.004981444953361633,0.025844702657487555,0.0006814521125015424,0.0014632107023410921,4.6988667187860696e-05,0.0015571049974924629,0.000330531868889973,0.000889194004478643,0.0008930666968281427,0.0012022120702093444,0.004559018567639215,0.003318250377073824,0.005453306066802984,0.0,0.0047169811320754585
benign,constructed,proposed_max_channel_w3_no_thickness,25,0.07328074214463948,2.3455514730498153,11,192,4608,0.024010433834671146,0.006130790190735622,0.001986464324486573,0.004827655377620253,0.024010433834671146,0.0011146201003157208,0.00177619893428056,4.6988667187860696e-05,0.0015552860466689867,0.00033706191749035256,0.0008466957616173973,0.0007969408426156771,0.0014423076923076755,0.0053834686102367975,0.004219409282700459,0.006130790190735622,0.0,0.0047169811320754585
benign,constructed,proposed_sqrt_sum_w1,25,0.07270153764931789,2.0554135922694114,10,192,4608,0.038961009853051946,0.026315789473684313,0.0017097571682723664,0.0034101166794825114,0.038961009853051946,0.000990896141698108,0.002505742326164082,1.708678806831298e-05,0.001058464474000495,1.4375495791224997e-05,0.0005067098187285204,0.0010228776794397932,0.0050553683196916995,0.0089130973013121,0.007956763248761461,0.009168081494057763,0.026315789473684313,0.009389671361502322
benign,constructed,proposed_sqrt_sum_w0,25,0.12398277104286597,1.9614497684009002,9,192,4608,0.03802708609583043,0.026315789473684313,0.0016174873489381853,0.0007422018655344187,0.03802708609583043,0.001485608170844879,0.0038577833385464765,1.708678806831298e-05,0.0005575030532410863,0.00029404845918596897,0.00034313725490203186,0.0013931402289986408,0.0026480500722194816,0.012498972124002907,0.012552301255230106,0.00984051577875804,0.026315789473684313,0.014018691588785008
benign,constructed,proposed_sqrt_sum_w3_gap15,25,0.22903368454348322,1.585874111944152,11,192,4608,0.026315789473684313,0.026315789473684313,0.0006707373485059035,0.0033365651432583523,0.008749477082823937,0.0,0.000941127261319682,8.11622433243681e-05,0.0006868902936957434,0.00020579156254597823,0.0015233985517905376,0.0004141828470812985,0.00264105642256917,0.0024919013207075984,0.003167898627243956,0.0006854009595612858,0.026315789473684313,0.0
nominal,constructed,uniform_pinned25,25,0.2299571712540133,1.2953094507364686,10,192,4608,0.013101766758884904,0.006097560975609739,0.001085402657912907,0.0018608526593528979,0.013101766758884904,0.001048218029350141,0.00011030222810499557,8.956132861238004e-05,0.0002018834840263584,0.0002012372681187325,1.6156915967806522e-05,0.0006032191394963249,0.0009087810973530986,0.002952157679951316,0.0021123785382341485,0.0013192612137203487,0.006097560975609739,0.0024660912453760052
