policy,n_cases,mean_all_error,max_all_error,mean_control_error,max_control_error,mean_cl_de_error,max_cl_de_error,mean_ramp_fraction,max_ramp_fraction,mean_max_gap_ratio,max_max_gap_ratio,mean_sections,cl_de_wins,control_wins
current_sum_sqrt_w3,10,0.004829864829430405,0.043478260869565244,0.008478981664611735,0.043478260869565244,0.009631811302227716,0.017732151189920598,0.12792764721849417,0.2504756183790165,2.115008462904635,2.37360502108455,25.0,0,0
proposed_max_channel_w3,10,0.004265848755502058,0.043478260869565244,0.0073997710447519845,0.043478260869565244,0.007586080896744518,0.02327837051406395,0.1250258124331831,0.21343296302224066,2.1929690668586455,2.5151344073623036,25.0,1,1
proposed_max_channel_w3_no_thickness,10,0.00431975992452296,0.043478260869565244,0.007252582392784295,0.043478260869565244,0.006330915800693214,0.012330572289156549,0.09924047209897091,0.15645238455891394,2.1874179409364474,2.5467335187607176,25.0,2,1
proposed_sqrt_sum_w0,10,0.0072266631666144205,0.07684312821380843,0.01570592327469128,0.041427275476262466,0.01764574421646076,0.041427275476262466,0.31605510594393915,0.9579785268330934,2.0396062196047833,2.775911398426853,25.0,0,0
proposed_sqrt_sum_w1,10,0.003972988968960489,0.038961009853051946,0.006979016940895552,0.03448275862068972,0.00774475459001023,0.015220461321198786,0.13892883731581834,0.2311521141937141,1.9079665839762359,2.2101762507584737,25.0,0,2
proposed_sqrt_sum_w3,10,0.004827724818391639,0.043478260869565244,0.008198701235866817,0.043478260869565244,0.008910380761565955,0.017265515632291246,0.11062987729722376,0.22822153990512975,2.1935362666645983,2.5592329536210854,25.0,1,2
proposed_sqrt_sum_w3_gap15,10,0.0037769400809612454,0.027998133457769355,0.007517333757059901,0.027998133457769355,0.007858881166352593,0.027998133457769355,0.3129507596016201,0.6684139339196433,1.519094354699228,1.585874111944152,25.0,1,2
proposed_sqrt_sum_w3_no_thickness,10,0.0038804197617695385,0.043478260869565244,0.006757491505080479,0.043478260869565244,0.006893023853839009,0.022065955383123167,0.12115930300938078,0.20018348606413805,2.2137094373176507,2.5779262762930393,25.0,1,1
uniform_pinned25,10,0.005506869855130037,0.043478260869565244,0.012116651418617275,0.043478260869565244,0.01092144048668988,0.03576624636275462,0.29299425521284855,0.5487179900242533,1.374099588985641,1.5200000000000005,25.0,4,1
