"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -2.046598942,      -9.783035051,      -9.955534791,       3.434509953,      -6.022701164,       2884.257161,       2.091514751,       4.756475817,                 0,                 0,                 0,       1.276371063,       1.233786585,       5.047401987,                 0,       2.274177514,    0.001079499442
          0,           0,           1,      -2.339261652,     0.01306707996,      0.1225948743,       3.142554622,          -6.22046,       2884.257161,        2.75749844,       6.544747424,                 0,                 0,                 0,       1.736396304,       1.579122379,       6.924152584,                 0,       2.373436492,    0.001079499442
          0,           0,           2,       -2.58852126,    -0.05418926789,      0.1004809244,       2.897137109,      -6.546543703,       2884.257161,       2.562532035,       6.011459827,                 0,                 0,                 0,        1.59498237,       1.479722371,       6.365111263,                 0,       2.345906215,    0.001079499442
          0,           0,           3,       -2.66100483,     -0.1617316177,     -0.1522932886,       2.827101182,      -6.932203781,       2884.257161,       2.132569694,       4.901484995,                 0,                 0,                 0,       1.300415407,       1.249037232,       5.197337266,                 0,       2.298393815,    0.001079499442
          0,           0,           4,      -2.773215092,      -0.252574877,      -0.359920879,       2.717393492,      -7.162993433,       2884.257161,        1.84621399,       4.381008523,                 0,                 0,                 0,       1.158668487,       1.057411705,       4.635042854,                 0,       2.372968977,    0.001079499442
          0,           0,           5,      -2.852195715,     -0.2908589246,     -0.3302978393,       2.637524743,      -7.403648275,       2884.257161,       1.795663977,       4.278153794,                 0,                 0,                 0,        1.12943728,       1.025490196,       4.524972802,                 0,       2.382491295,    0.001079499442
          0,           0,           6,      -2.878637172,       -0.32245013,     -0.3162539213,       2.607648529,      -7.438392095,       2884.257161,       1.749935111,       4.229747993,                 0,                 0,                 0,       1.115224699,      0.9888616341,        4.46936166,                 0,       2.417088477,    0.001079499442
          0,           0,           7,         -2.880238,      -0.340267619,     -0.2946022126,        2.60262645,      -7.476166924,       2884.257161,       1.666337727,       4.169131453,                 0,                 0,                 0,       1.096916478,      0.9170602332,       4.395149488,                 0,       2.501972671,    0.001079499442
          0,           0,           8,      -2.855744283,     -0.3242260008,     -0.2493467585,        2.62459745,      -7.525161931,       2884.257161,        1.44443152,       3.967356069,                 0,                 0,                 0,       1.035530477,       0.733563208,       4.157905917,                 0,       2.746655701,    0.001079499442
          0,           0,           9,      -2.849561719,     -0.2577593016,     -0.2005358364,       2.628854364,      -7.598759545,       2884.257161,       1.188597281,       3.663251085,                 0,                 0,                 0,      0.9399268481,      0.5344229426,       3.813995822,                 0,       3.081995174,    0.001079499442
