
=== A_clean_symmetric  alpha=3.0 beta=0.0 de=0.0 da=0.0 ===
field                 native           asb    rel_diff
------------------------------------------------------
[scalars]
Clb                -0.026288      -0.02662    1.25e-02
Clp                -0.293124     -0.293136    4.09e-05
Clq                -0.022112     -0.021876    1.07e-02
Clr                 0.020798      0.020854    2.69e-03
Cma                 -1.58572      -1.58773    1.27e-03
Cmb                 0.012808      0.004298    6.64e-01
Cmp                 0.022352      0.022405    2.37e-03
Cmq                   -3.507      -3.51598    2.55e-03
Cmr                 0.005756     -0.002639    1.46e+00
Cna                 0.006501      0.001547    7.62e-01
Cnb                 0.002489      0.002514    9.94e-03
Cnp                  0.00325      0.003374    3.68e-02
Cnq                 0.003536      0.001567    5.57e-01
Cnr                  -0.0027     -0.002657    1.59e-02
Xnp                 0.232678      0.232673    2.15e-05
[body_derivatives]
CXu                -0.019749       -0.0195    1.26e-02
CXv                -0.000289      -3.3e-05    8.86e-01
CXw                 0.215288       0.21482    2.17e-03
CYu                -0.001033      -7.6e-05    9.26e-01
CYv                -0.009297     -0.009264    3.55e-03
CYw                -0.004055     -0.000376    9.07e-01
CZu                 0.095811      0.094908    9.42e-03
CZv                 0.014532      0.003476    7.61e-01
CZw                  -3.7137      -3.71377    1.88e-05
Clu                 -0.01001     -0.000211    9.79e-01
Clv                -0.026773     -0.026764    3.36e-04
Clw                -0.014174     -0.013825    2.46e-02
Cmu                 0.077347      0.076742    7.82e-03
Cmv                 0.012617      0.004076    6.77e-01
Cmw                 -1.58481      -1.58686    1.29e-03
Cnu                -0.000223         9e-06    1.04e+00
Cnv                 0.001102      0.001118    1.43e-02
Cnw                 -5.3e-05     -0.000106    5.00e-01
missing in native: NONE
