geometry_id,attempts,post_pass_attempts,first_pass_quality,best_pass_quality,accepted_quality,search_was_justified,search_paid_off,reached_preferred
lhs100_seed42_002,2,1,0.10421801029673715,0.17668039200670344,0.17668039200670344,True,True,True
lhs100_seed42_007,6,4,0.11512233777199117,0.1537358946331951,0.1537358946331951,True,True,True
lhs100_seed42_012,4,1,0.13796656233419458,0.16240170374886362,0.16240170374886362,True,True,True
lhs100_seed42_054,2,1,0.13858968512006245,0.17835233836783343,0.17835233836783343,True,True,True
lhs100_seed42_057,2,1,0.11892873968389257,0.17452360469164255,0.17452360469164255,True,True,True
lhs100_seed42_064,2,1,0.13029277303964776,0.23715557587280633,0.23715557587280633,True,True,True
lhs100_seed42_068,3,2,0.12158214528994177,0.19140934181036565,0.19140934181036565,True,True,True
lhs100_seed42_072,2,1,0.12566895661048655,0.15537630902637492,0.15537630902637492,True,True,True
lhs100_seed42_076,2,1,0.12084071180377735,0.23066650340925565,0.23066650340925565,True,True,True
lhs100_seed42_089,3,2,0.1299622861069467,0.17418398241792596,0.17418398241792596,True,True,True
lhs100_seed42_095,21,20,0.14681110308186857,0.14681110308186857,0.14681110308186857,True,False,False
