policy,geometries,total_attempts,total_seconds,mean_attempts,max_attempts,success_rate,first_attempt_success,mean_accepted_quality,reached_preferred_rate,seed
ranking (design only),100.0,135.0,2528.1859538750014,1.35,21.0,1.0,0.89,0.21183268777295466,0.99,15
ranking + ceiling stopping (design only),100.0,120.0,2363.8564644849994,1.2,7.0,1.0,0.89,0.21158833635880797,0.98,15
ranking + accept-first-valid (design only),100.0,109.0,2201.427832170999,1.09,3.0,1.0,0.93,0.21080457425771823,0.96,15
ranking (design only),100.0,131.0,2521.9901951409993,1.31,21.0,1.0,0.9,0.21183268777295466,0.99,16
ranking + ceiling stopping (design only),100.0,111.0,2256.620788233997,1.11,3.0,1.0,0.92,0.21119070982633026,0.97,16
ranking + accept-first-valid (design only),100.0,106.0,2178.7284063059997,1.06,3.0,1.0,0.96,0.209011322412287,0.94,16
ranking (design only),100.0,133.0,2562.0910669269997,1.33,21.0,1.0,0.9,0.21183268777295466,0.99,17
ranking + ceiling stopping (design only),100.0,115.0,2363.8229157279984,1.15,4.0,1.0,0.9,0.21158833635880797,0.98,17
ranking + accept-first-valid (design only),100.0,105.0,2168.2517063839987,1.05,3.0,1.0,0.96,0.20796012319191517,0.93,17
ranking (design only),100.0,134.0,2545.0565319000016,1.34,21.0,1.0,0.87,0.21183268777295466,0.99,18
ranking + ceiling stopping (design only),100.0,118.0,2367.634580230999,1.18,5.0,1.0,0.87,0.21183268777295466,0.99,18
ranking + accept-first-valid (design only),100.0,109.0,2195.548130145,1.09,3.0,1.0,0.93,0.20895860030227478,0.94,18
ranking (design only),100.0,130.0,2482.9975116150017,1.3,21.0,1.0,0.92,0.21183268777295466,0.99,19
ranking + ceiling stopping (design only),100.0,111.0,2242.680995843999,1.11,3.0,1.0,0.92,0.21158833635880797,0.98,19
ranking + accept-first-valid (design only),100.0,106.0,2179.1052158410002,1.06,3.0,1.0,0.96,0.20979508451337672,0.96,19
ranking (design+surface),100.0,134.0,2539.8828553040003,1.34,21.0,1.0,0.89,0.21183268777295466,0.99,0
ranking + ceiling stopping (design+surface),100.0,115.0,2290.2421299399975,1.15,4.0,1.0,0.9,0.21037792417601103,0.97,0
ranking + accept-first-valid (design+surface),100.0,108.0,2189.643551682999,1.08,3.0,1.0,0.94,0.20968322411937443,0.95,0
ranking (design+surface),100.0,139.0,2629.732322453001,1.39,21.0,1.0,0.86,0.21183268777295466,0.99,1
ranking + ceiling stopping (design+surface),100.0,119.0,2369.6797677629966,1.19,4.0,1.0,0.86,0.2111461193956982,0.97,1
ranking + accept-first-valid (design+surface),100.0,109.0,2199.192562819997,1.09,3.0,1.0,0.93,0.20717377400896353,0.91,1
ranking (design+surface),100.0,131.0,2538.860084185997,1.31,21.0,1.0,0.91,0.21183268777295466,0.99,2
ranking + ceiling stopping (design+surface),100.0,108.0,2234.0674937399963,1.08,3.0,1.0,0.93,0.20998029764353332,0.96,2
ranking + accept-first-valid (design+surface),100.0,105.0,2179.5826196009966,1.05,3.0,1.0,0.96,0.20943887270522776,0.94,2
ranking (design+surface),100.0,131.0,2497.781265694999,1.31,21.0,1.0,0.93,0.21183268777295466,0.99,3
ranking + ceiling stopping (design+surface),100.0,111.0,2243.1868914269944,1.11,5.0,1.0,0.95,0.21080457425771823,0.96,3
ranking + accept-first-valid (design+surface),100.0,105.0,2171.0231439909967,1.05,3.0,1.0,0.97,0.21080457425771823,0.96,3
ranking (design+surface),100.0,131.0,2494.524917845998,1.31,21.0,1.0,0.92,0.21183268777295466,0.99,4
ranking + ceiling stopping (design+surface),100.0,110.0,2235.3650147089957,1.1,3.0,1.0,0.93,0.2110489256718649,0.97,4
ranking + accept-first-valid (design+surface),100.0,106.0,2169.605248965998,1.06,3.0,1.0,0.96,0.20998029764353332,0.96,4
ranking (design+surface),100.0,135.0,2570.713232561,1.35,21.0,1.0,0.88,0.21183268777295466,0.99,5
ranking + ceiling stopping (design+surface),100.0,115.0,2307.665388596997,1.15,3.0,1.0,0.88,0.21120220079019592,0.97,5
ranking + accept-first-valid (design+surface),100.0,106.0,2179.244977016995,1.06,3.0,1.0,0.95,0.2092269282663822,0.93,5
ranking (design+surface),100.0,132.0,2517.8488451149988,1.32,21.0,1.0,0.9,0.21183268777295466,0.99,6
ranking + ceiling stopping (design+surface),100.0,111.0,2263.7584410699965,1.11,3.0,1.0,0.9,0.2114465522043426,0.98,6
ranking + accept-first-valid (design+surface),100.0,106.0,2179.187972400996,1.06,3.0,1.0,0.95,0.20976835320468776,0.95,6
ranking (design+surface),100.0,132.0,2501.6702072849985,1.32,21.0,1.0,0.91,0.21183268777295466,0.99,7
ranking + ceiling stopping (design+surface),100.0,110.0,2203.462184277996,1.1,3.0,1.0,0.93,0.21080457425771823,0.96,7
ranking + accept-first-valid (design+surface),100.0,107.0,2183.3268118489977,1.07,3.0,1.0,0.95,0.21080457425771823,0.96,7
ranking (design+surface),100.0,136.0,2575.2010622120015,1.36,21.0,1.0,0.88,0.21183268777295466,0.99,8
ranking + ceiling stopping (design+surface),100.0,114.0,2293.631204072997,1.14,3.0,1.0,0.89,0.21120220079019592,0.97,8
ranking + accept-first-valid (design+surface),100.0,107.0,2178.062763603999,1.07,3.0,1.0,0.95,0.20871424888812812,0.93,8
ranking (design+surface),100.0,130.0,2531.9621620709986,1.3,21.0,1.0,0.92,0.21183268777295466,0.99,9
ranking + ceiling stopping (design+surface),100.0,110.0,2283.230920031994,1.1,3.0,1.0,0.93,0.21158833635880797,0.98,9
ranking + accept-first-valid (design+surface),100.0,103.0,2172.1424416929967,1.03,3.0,1.0,0.98,0.20898169252456378,0.94,9
ranking (design+surface),100.0,132.0,2533.6174799759992,1.32,21.0,1.0,0.91,0.21183268777295466,0.99,10
ranking + ceiling stopping (design+surface),100.0,111.0,2274.457576838997,1.11,3.0,1.0,0.92,0.2110489256718649,0.97,10
ranking + accept-first-valid (design+surface),100.0,105.0,2170.2135423769996,1.05,3.0,1.0,0.97,0.209011322412287,0.94,10
ranking (design+surface),100.0,128.0,2499.618166547996,1.28,21.0,1.0,0.93,0.21183268777295466,0.99,11
ranking + ceiling stopping (design+surface),100.0,107.0,2211.5174314479937,1.07,3.0,1.0,0.95,0.21080457425771823,0.96,11
ranking + accept-first-valid (design+surface),100.0,103.0,2171.402806817994,1.03,3.0,1.0,0.98,0.2102486256076407,0.95,11
ranking (design+surface),100.0,131.0,2542.688396274998,1.31,21.0,1.0,0.91,0.21183268777295466,0.99,12
ranking + ceiling stopping (design+surface),100.0,114.0,2350.297764629995,1.14,5.0,1.0,0.92,0.21143506124047698,0.98,12
ranking + accept-first-valid (design+surface),100.0,104.0,2178.3782282959965,1.04,3.0,1.0,0.97,0.20869972517635615,0.94,12
ranking (design+surface),100.0,134.0,2542.039392271001,1.34,21.0,1.0,0.89,0.21183268777295466,0.99,13
ranking + ceiling stopping (design+surface),100.0,112.0,2253.3339590470005,1.12,3.0,1.0,0.9,0.21013357276186434,0.96,13
ranking + accept-first-valid (design+surface),100.0,106.0,2170.2207284039996,1.06,3.0,1.0,0.95,0.209011322412287,0.94,13
ranking (design+surface),100.0,134.0,2553.997283491999,1.34,21.0,1.0,0.89,0.21183268777295466,0.99,14
ranking + ceiling stopping (design+surface),100.0,115.0,2332.7454955469966,1.15,4.0,1.0,0.89,0.21183268777295466,0.99,14
ranking + accept-first-valid (design+surface),100.0,107.0,2180.6489545489985,1.07,3.0,1.0,0.95,0.20845537376220946,0.93,14
ranking (design+surface),100.0,135.0,2564.6250894190016,1.35,21.0,1.0,0.89,0.21183268777295466,0.99,15
ranking + ceiling stopping (design+surface),100.0,113.0,2284.3731258909993,1.13,4.0,1.0,0.92,0.20973594622938663,0.95,15
ranking + accept-first-valid (design+surface),100.0,107.0,2192.8064255520003,1.07,4.0,1.0,0.95,0.209011322412287,0.94,15
ranking (design+surface),100.0,136.0,2550.5611118020024,1.36,21.0,1.0,0.89,0.21183268777295466,0.99,16
ranking + ceiling stopping (design+surface),100.0,119.0,2377.0875786650013,1.19,7.0,1.0,0.89,0.21120220079019592,0.97,16
ranking + accept-first-valid (design+surface),100.0,108.0,2178.742447935001,1.08,3.0,1.0,0.95,0.209011322412287,0.94,16
ranking (design+surface),100.0,133.0,2542.0321502860006,1.33,21.0,1.0,0.91,0.21183268777295466,0.99,17
ranking + ceiling stopping (design+surface),100.0,114.0,2309.3147158970005,1.14,5.0,1.0,0.93,0.20998029764353332,0.96,17
ranking + accept-first-valid (design+surface),100.0,105.0,2170.2134864189993,1.05,3.0,1.0,0.97,0.209011322412287,0.94,17
ranking (design+surface),100.0,135.0,2562.512479293,1.35,21.0,1.0,0.88,0.21183268777295466,0.99,18
ranking + ceiling stopping (design+surface),100.0,118.0,2375.954777871997,1.18,6.0,1.0,0.88,0.2114465522043426,0.98,18
ranking + accept-first-valid (design+surface),100.0,108.0,2189.2215070699986,1.08,3.0,1.0,0.94,0.20845537376220946,0.93,18
ranking (design+surface),100.0,131.0,2517.363698211999,1.31,21.0,1.0,0.92,0.21183268777295466,0.99,19
ranking + ceiling stopping (design+surface),100.0,111.0,2254.315854247996,1.11,3.0,1.0,0.92,0.21120220079019592,0.97,19
ranking + accept-first-valid (design+surface),100.0,104.0,2172.489581062997,1.04,3.0,1.0,0.97,0.20937931905704146,0.95,19
