feature_set,n_features,n_cells,balanced_accuracy,macro_f1,pass_auc,quality_mae,quality_spearman
design only,63,247,0.631268561949581,0.6402130783873028,0.8913535837996269,0.07466062921207083,0.7559195872805479
design+surface,86,247,0.6008102218547395,0.5983921266664529,0.8940181188382628,0.06224835086862591,0.8433308642937898
