policy,repeats,attempts_mean,attempts_sd,attempts_min,attempts_max,first_attempt_mean,worst_case_mean,quality_mean,quality_loss_pct
ranking (design only),20,132.85,2.1343062474478103,130.0,139.0,0.8925000000000001,21.0,0.2118326877729546,2.6205186656912687e-14
ranking (design+surface),20,133.0,2.5751852258368526,128.0,139.0,0.901,21.0,0.2118326877729546,2.6205186656912687e-14
ranking + accept-first-valid (design only),20,107.35,1.4244112357114596,105.0,110.0,0.9455,3.0,0.20911916664626146,1.2809737511340078
ranking + accept-first-valid (design+surface),20,105.95,1.7006190823220506,103.0,109.0,0.9570000000000001,3.05,0.20924357846515945,1.2222425797524963
ranking + ceiling stopping (design only),20,114.8,3.2052588367441275,110.0,123.0,0.898,4.25,0.21149046837108107,0.16155174419558438
ranking + ceiling stopping (design+surface),20,112.85,3.37599887752538,107.0,119.0,0.9109999999999999,3.85,0.21092118624543094,0.430293141774554
