TITLE = "M6 WING - SURFACE PRESSURE DISTRIBUTIONS"
VARIABLES = "Section", "Tap", "X/L", "Z/L", "CP"
ZONE T=",Run= 308, Mach= 0.8395, Alpha=  3.06, Re= 11.72x10**6, Section 1", I=  34, F=POINT
  0.20000000E+01  0.25000000E+02  0.29925000E+00  0.47980000E-01 -0.55871000E+00
  0.20000000E+01  0.24000000E+02  0.34927000E+00  0.48780000E-01 -0.57990000E+00
  0.20000000E+01  0.23000000E+02  0.39931000E+00  0.48860000E-01 -0.61441000E+00
  0.20000000E+01  0.22000000E+02  0.44897000E+00  0.48150000E-01 -0.64705000E+00
  0.20000000E+01  0.21000000E+02  0.49927000E+00  0.46520000E-01 -0.70107000E+00
  0.20000000E+01  0.20000000E+02  0.54927000E+00  0.43980000E-01 -0.37418000E+00
  0.20000000E+01  0.19000000E+02  0.59931000E+00  0.40830000E-01 -0.26269000E+00
  0.20000000E+01  0.18000000E+02  0.64917000E+00  0.37190000E-01 -0.21300000E+00
  0.20000000E+01  0.17000000E+02  0.70897000E+00  0.32290000E-01 -0.15087000E+00
  0.20000000E+01  0.16000000E+02  0.77912000E+00  0.25720000E-01 -0.80609000E-01
  0.20000000E+01  0.15000000E+02  0.84903000E+00  0.18260000E-01  0.98211000E-02
  0.20000000E+01  0.14000000E+02  0.91929000E+00  0.10320000E-01  0.10893000E+00
  0.20000000E+01  0.13000000E+02  0.98387000E+00  0.28300000E-02  0.21145000E+00
ZONE T=",Run= 308, Mach= 0.8395, Alpha=  3.06, Re= 11.72x10**6, Section 3", I=  34, F=POINT
  0.30000000E+01  0.12000000E+02  0.94999000E+00 -0.73700000E-02  0.15727000E+00
  0.30000000E+01  0.11000000E+02  0.81986000E+00 -0.21520000E-01 -0.15874000E-01
  0.30000000E+01  0.10000000E+02  0.67008000E+00 -0.35530000E-01 -0.14277000E+00
  0.30000000E+01  0.90000000E+01  0.57033000E+00 -0.42720000E-01 -0.21310000E+00
  0.30000000E+01  0.80000000E+01  0.47037000E+00 -0.47600000E-01 -0.27948000E+00
  0.30000000E+01  0.70000000E+01  0.37009000E+00 -0.48900000E-01 -0.26993000E+00
  0.30000000E+01  0.60000000E+01  0.27010000E+00 -0.47160000E-01 -0.19558000E+00
  0.30000000E+01  0.50000000E+01  0.17010000E+00 -0.42240000E-01 -0.12139000E+00
