# NACA 4412, alpha=13.87, Re=1.52 million, 897x257 grid, CFL3D with SA model
#    x = x/c
#    y = y/c
#    uv = (u'v'/Uinf^2)/(0.93^2)
#    (0.93^2 needed to put normalization in terms of experimental ref location below and behind airfoil)
VARIABLES = "x","y","uv"
ZONE T="x=.6753"
 6.759086251E-01 7.431929559E-02 -3.278297838E-03
 6.759397388E-01 7.450871170E-02 -3.372152336E-03
 6.759724617E-01 7.470779866E-02 -3.467972856E-03
 6.760067940E-01 7.491706312E-02 -3.565629711E-03
 6.760429144E-01 7.513701916E-02 -3.665031167E-03
 6.760808825E-01 7.536821812E-02 -3.765265225E-03
 6.761207581E-01 7.561122626E-02 -3.866766347E-03
 6.761627197E-01 7.586664706E-02 -3.969374578E-03
 6.762068272E-01 7.613512129E-02 -4.072809592E-03
 6.762531400E-01 7.641731948E-02 -4.176646471E-03
 6.763018370E-01 7.671392709E-02 -4.280496389E-03
 6.763530374E-01 7.702569664E-02 -4.383900668E-03
 6.764068604E-01 7.735339552E-02 -4.485172220E-03
 6.764634252E-01 7.769784331E-02 -4.584743176E-03
 6.765228510E-01 7.805988193E-02 -4.682040773E-03
 6.765853167E-01 7.844042033E-02 -4.776358604E-03
 6.766510010E-01 7.884040475E-02 -4.866330419E-03
 6.767200232E-01 7.926083356E-02 -4.951170646E-03
 6.767926216E-01 7.970273495E-02 -5.029443186E-03
 6.768688560E-01 8.016721904E-02 -5.097867455E-03
 6.769490242E-01 8.065544069E-02 -5.156720523E-03
 6.770333052E-01 8.116860688E-02 -5.204366986E-03
 6.771218777E-01 8.170799166E-02 -5.239177961E-03
 6.772149801E-01 8.227493614E-02 -5.258166697E-03
 6.773127913E-01 8.287085593E-02 -5.259452388E-03
 6.774156690E-01 8.349721879E-02 -5.239569582E-03
 6.775237918E-01 8.415558934E-02 -5.192348734E-03
 6.776373982E-01 8.484759927E-02 -5.117926747E-03
 6.777568460E-01 8.557496965E-02 -5.012948066E-03
 6.778823733E-01 8.633950353E-02 -4.873066675E-03
 6.780143380E-01 8.714310825E-02 -4.695902579E-03
 6.781530380E-01 8.798776567E-02 -4.477365408E-03
 6.782987714E-01 8.887559175E-02 -4.212266766E-03
 6.784520149E-01 8.980877697E-02 -3.894171910E-03
 6.786130667E-01 9.078964591E-02 -3.527028719E-03
 6.787824035E-01 9.182063490E-02 -3.110370599E-03
 6.789603233E-01 9.290430695E-02 -2.649433678E-03
 6.791473627E-01 9.404335171E-02 -2.154049464E-03
 6.793439388E-01 9.524059296E-02 -1.638001646E-03
 6.795505881E-01 9.649901092E-02 -1.129826298E-03
 6.797677875E-01 9.782173485E-02 -6.901905872E-04
 6.799960732E-01 9.921204299E-02 -3.599230258E-04
 6.802359819E-01 1.006733850E-01 -1.522553357E-04
 6.804882288E-01 1.022094041E-01 -4.626854934E-05
 6.807532907E-01 1.038239077E-01 -7.786483366E-06
 6.810319424E-01 1.055209115E-01 -2.489773863E-07
 6.813248396E-01 1.073046178E-01 -2.119501801E-07
 6.816326976E-01 1.091794744E-01 -2.122798293E-07
 6.819562912E-01 1.111501232E-01 -1.401440102E-07
 6.822963953E-01 1.132214740E-01 -8.044044364E-08
 6.826539040E-01 1.153986603E-01 -5.163648353E-08
 6.830296516E-01 1.176870912E-01 -3.946138349E-08
 6.834245920E-01 1.200924516E-01 -3.439408758E-08
 6.838397384E-01 1.226207241E-01 -3.213374100E-08
 6.842761040E-01 1.252781898E-01 -3.066155685E-08
 6.847347617E-01 1.280714273E-01 -2.936922527E-08
 6.852168441E-01 1.310074031E-01 -2.813127686E-08
 6.857236028E-01 1.340934038E-01 -2.688975975E-08
 6.862561703E-01 1.373370737E-01 -2.562281232E-08
 6.868160367E-01 1.407464892E-01 -2.430596879E-08
 6.874044538E-01 1.443301290E-01 -2.293066537E-08
 6.880229712E-01 1.480968595E-01 -2.149371703E-08
 6.886730790E-01 1.520560831E-01 -1.999938348E-08
 6.893563867E-01 1.562175900E-01 -1.844878916E-08
 6.900746226E-01 1.605917513E-01 -1.683579498E-08
 6.908295751E-01 1.651894003E-01 -1.516147030E-08
 6.916230917E-01 1.700219959E-01 -1.342137601E-08
 6.924571395E-01 1.751015037E-01 -1.164456176E-08
 6.933338046E-01 1.804405749E-01 -9.822747060E-09
 6.942552924E-01 1.860524565E-01 -7.952204228E-09
 6.952238083E-01 1.919510812E-01 -6.037514932E-09
 6.962418556E-01 1.981510967E-01 -4.098957174E-09
 6.973119378E-01 2.046679258E-01 -2.124368459E-09
 6.984366775E-01 2.115177512E-01 -1.208679545E-10
 6.996188760E-01 2.187175751E-01 1.890190227E-09
 7.008615136E-01 2.262852788E-01 3.897978829E-09
 7.021676302E-01 2.342396826E-01 5.909616352E-09
