# Results on finest four family II grids (7169x2049, 3585x1025, 1793x513, 897x257)
VARIABLES = "x" "z" "cf,x" "cf,z" "cf"
ZONE T="FUN3D, 0 lev dn, no PV"
 1.000000000E+00 0.000000000E+00 1.258915639E-03 1.220353588E-04 1.264816616E-03
 9.999876022E-01 -1.755868311E-06 2.095642732E-03 2.827453718E-04 2.114630770E-03
 9.999751449E-01 -3.522341558E-06 2.028462011E-03 2.829739242E-04 2.048104536E-03
 9.999626279E-01 -5.299483291E-06 1.978901215E-03 2.808707650E-04 1.998734195E-03
 9.999500513E-01 -7.087357062E-06 1.961398870E-03 2.783315431E-04 1.981048845E-03
 9.999373555E-01 -8.886026990E-06 1.951259794E-03 2.768656705E-04 1.970804296E-03
 9.999246001E-01 -1.069555765E-05 1.942474046E-03 2.756144095E-04 1.961929956E-03
 9.999117851E-01 -1.251601225E-05 1.933609834E-03 2.743528457E-04 1.952976221E-03
 9.998988509E-01 -1.434745809E-05 1.924827113E-03 2.730999258E-04 1.944104675E-03
 9.998858571E-01 -1.618995884E-05 1.916505513E-03 2.719114709E-04 1.935698674E-03
 9.998728037E-01 -1.804358180E-05 1.908883802E-03 2.708208340E-04 1.927999314E-03
 9.998596907E-01 -1.990839337E-05 1.902046613E-03 2.698418975E-04 1.921092393E-03
 9.998464584E-01 -2.178445720E-05 1.895951107E-03 2.689683170E-04 1.914934604E-03
 9.998331070E-01 -2.367184425E-05 1.890514395E-03 2.681890037E-04 1.909442362E-03
 9.998197556E-01 -2.557061998E-05 1.885641017E-03 2.674903080E-04 1.904519158E-03
 9.998062849E-01 -2.748086081E-05 1.881252043E-03 2.668610541E-04 1.900085248E-03
 9.997927547E-01 -2.940263221E-05 1.877280185E-03 2.662913466E-04 1.896072761E-03
 9.997791052E-01 -3.133600330E-05 1.873672823E-03 2.657735604E-04 1.892428380E-03
 9.997653961E-01 -3.328104867E-05 1.870388398E-03 2.653017582E-04 1.889110310E-03
 9.997515678E-01 -3.523783016E-05 1.867393730E-03 2.648711379E-04 1.886084792E-03
